example_idx,split,target_color,template_name,bbox_shape,input_color_pos,true_missing,true_full_variant,compatible_variant_count,compatible_variants,ambiguity_kind
106,arc-gen,2,inner_diag,"(5, 5)","((0, 2), (1, 1), (2, 0), (2, 4), (4, 2))","((1, 3), (3, 1), (3, 3))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
107,arc-gen,1,edge_mid,"(5, 5)","((1, 1), (1, 3), (2, 4), (3, 1), (3, 3))","((0, 2), (2, 0), (4, 2))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
108,arc-gen,1,edge_mid,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 2))","((0, 2), (2, 0), (2, 4))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
109,arc-gen,4,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
110,arc-gen,4,inner_diag,"(5, 5)","((0, 0), (0, 4), (1, 3), (2, 2), (4, 0), (4, 4))","((1, 1), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (2, 2), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
111,arc-gen,1,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
112,arc-gen,1,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 2), (2, 4), (4, 0), (4, 4))","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
113,arc-gen,3,corners,"(5, 5)","((2, 2), (4, 4))","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (2, 2), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
114,arc-gen,3,corners,"(5, 5)","((0, 4), (1, 1), (1, 3), (2, 2), (3, 1), (3, 3))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (2, 2), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
115,arc-gen,8,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
116,arc-gen,4,corners,"(5, 5)","((4, 0),)","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
117,arc-gen,3,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
118,arc-gen,3,edge_mid,"(5, 5)","((2, 2), (2, 4))","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
119,arc-gen,3,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
120,arc-gen,8,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
121,arc-gen,2,inner_diag,"(5, 5)","((1, 1), (2, 2))","((1, 3), (3, 1), (3, 3))","((1, 1), (1, 3), (2, 2), (3, 1), (3, 3))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
122,arc-gen,2,corners,"(5, 5)","((4, 0),)","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
123,arc-gen,2,inner_diag,"(5, 5)","((0, 0), (0, 4), (3, 3), (4, 0), (4, 4))","((1, 1), (1, 3), (3, 1))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
124,arc-gen,2,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
125,arc-gen,1,edge_mid,"(5, 5)","((2, 2), (4, 2))","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
126,arc-gen,4,edge_mid,"(5, 5)","((2, 2), (4, 2))","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
127,arc-gen,8,corners,"(5, 5)","((2, 2), (4, 0))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (2, 2), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
128,arc-gen,3,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
129,arc-gen,4,edge_mid,"(5, 5)","((0, 2), (1, 1), (1, 3), (3, 1), (3, 3))","((2, 0), (2, 4), (4, 2))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
130,arc-gen,2,corners,"(5, 5)","((0, 0), (2, 2))","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (2, 2), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
131,arc-gen,4,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 4), (4, 0), (4, 4))","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
132,arc-gen,4,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
133,arc-gen,8,inner_diag,"(5, 5)","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
134,arc-gen,2,corners,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 4))","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
135,arc-gen,4,edge_mid,"(5, 5)","((0, 0), (0, 2), (0, 4), (4, 0), (4, 4))","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
136,arc-gen,8,corners,"(5, 5)","((0, 2), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
137,arc-gen,8,corners,"(5, 5)","((0, 2), (2, 0), (2, 4), (4, 0), (4, 2))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
138,arc-gen,1,corners,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
139,arc-gen,4,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
140,arc-gen,8,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
141,arc-gen,2,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 4), (4, 0), (4, 4))","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
142,arc-gen,3,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
143,arc-gen,8,inner_diag,"(5, 5)","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
144,arc-gen,1,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
145,arc-gen,4,corners,"(5, 5)","((0, 2), (0, 4), (2, 0), (2, 4), (4, 2))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
146,arc-gen,8,corners,"(5, 5)","((0, 0), (1, 1), (1, 3), (3, 1), (3, 3))","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
147,arc-gen,2,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
148,arc-gen,8,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
149,arc-gen,3,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
150,arc-gen,1,corners,"(5, 5)","((0, 2), (2, 0), (2, 4), (4, 2), (4, 4))","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
151,arc-gen,1,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
152,arc-gen,1,corners,"(5, 5)","((0, 2), (2, 0), (2, 4), (4, 2), (4, 4))","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
153,arc-gen,2,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
154,arc-gen,2,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
155,arc-gen,4,inner_diag,"(5, 5)","((3, 1),)","((1, 1), (1, 3), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
156,arc-gen,4,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
157,arc-gen,3,edge_mid,"(5, 5)","((0, 0), (0, 4), (1, 1), (1, 3), (2, 0), (3, 1), (3, 3), (4, 0), (4, 4))","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
158,arc-gen,8,corners,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
159,arc-gen,1,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 0), (4, 0), (4, 4))","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
160,arc-gen,4,corners,"(5, 5)","((0, 0),)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
161,arc-gen,4,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
162,arc-gen,1,corners,"(5, 5)","((0, 2), (0, 4), (2, 0), (2, 2), (2, 4), (4, 2))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
163,arc-gen,8,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
164,arc-gen,2,inner_diag,"(5, 5)","((2, 2), (3, 3))","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (2, 2), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
165,arc-gen,8,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
166,arc-gen,2,corners,"(5, 5)","((0, 0), (2, 2))","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (2, 2), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
167,arc-gen,4,corners,"(5, 5)","((0, 2), (0, 4), (2, 0), (2, 4), (4, 2))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
168,arc-gen,4,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
169,arc-gen,4,inner_diag,"(5, 5)","((0, 0), (0, 2), (0, 4), (1, 1), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2), (4, 4))","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 2), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
170,arc-gen,2,inner_diag,"(5, 5)","((3, 1),)","((1, 1), (1, 3), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
171,arc-gen,4,inner_diag,"(5, 5)","((0, 2), (2, 0), (2, 4), (3, 3), (4, 2))","((1, 1), (1, 3), (3, 1))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
172,arc-gen,1,corners,"(5, 5)","((0, 2), (2, 0), (2, 4), (4, 0), (4, 2))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
173,arc-gen,3,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
174,arc-gen,4,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
175,arc-gen,1,corners,"(5, 5)","((0, 0),)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
176,arc-gen,3,edge_mid,"(5, 5)","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))","((0, 2), (2, 0), (2, 4))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
177,arc-gen,1,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
178,arc-gen,2,inner_diag,"(5, 5)","((0, 2), (2, 0), (2, 4), (3, 1), (4, 2))","((1, 1), (1, 3), (3, 3))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
179,arc-gen,1,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
180,arc-gen,1,corners,"(5, 5)","((0, 2), (0, 4), (2, 0), (2, 4), (4, 2))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
181,arc-gen,8,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
182,arc-gen,2,inner_diag,"(5, 5)","((1, 1),)","((1, 3), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
183,arc-gen,2,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
184,arc-gen,4,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
185,arc-gen,8,corners,"(5, 5)","((0, 2), (0, 4), (2, 0), (2, 4), (4, 2))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
186,arc-gen,1,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
187,arc-gen,1,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
188,arc-gen,3,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
189,arc-gen,3,edge_mid,"(5, 5)","((2, 2), (4, 2))","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
190,arc-gen,3,inner_diag,"(5, 5)","((2, 2), (3, 3))","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (2, 2), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
191,arc-gen,3,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
192,arc-gen,4,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
193,arc-gen,2,inner_diag,"(5, 5)","((0, 2), (2, 0), (2, 2), (2, 4), (3, 3), (4, 2))","((1, 1), (1, 3), (3, 1))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 2), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
194,arc-gen,3,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 0), (4, 0), (4, 4))","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
195,arc-gen,8,edge_mid,"(5, 5)","((2, 2), (2, 4))","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
196,arc-gen,8,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
197,arc-gen,8,corners,"(5, 5)","((0, 2), (2, 0), (2, 4), (4, 0), (4, 2))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
198,arc-gen,1,inner_diag,"(5, 5)","((0, 2), (2, 0), (2, 2), (2, 4), (3, 1), (4, 2))","((1, 1), (1, 3), (3, 3))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 2), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
199,arc-gen,1,corners,"(5, 5)","((4, 0),)","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
200,arc-gen,3,edge_mid,"(5, 5)","((2, 2), (4, 2))","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
201,arc-gen,1,inner_diag,"(5, 5)","((0, 0), (0, 4), (1, 3), (4, 0), (4, 4))","((1, 1), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
202,arc-gen,1,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
203,arc-gen,1,corners,"(5, 5)","((2, 2), (4, 4))","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (2, 2), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
204,arc-gen,2,inner_diag,"(5, 5)","((3, 1),)","((1, 1), (1, 3), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
205,arc-gen,2,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
206,arc-gen,3,edge_mid,"(5, 5)","((0, 2), (2, 2))","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
207,arc-gen,8,edge_mid,"(5, 5)","((0, 0), (0, 2), (0, 4), (4, 0), (4, 4))","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
208,arc-gen,3,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
209,arc-gen,3,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
210,arc-gen,4,corners,"(5, 5)","((0, 2), (0, 4), (2, 0), (2, 4), (4, 2))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
211,arc-gen,4,corners,"(5, 5)","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
212,arc-gen,3,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
213,arc-gen,8,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
