idx,out_color,binary,colorized,features
90,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
91,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 6, 'bbox_bl': 8, 'bbox_br': 6, 'bbox_center': 0}"
92,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 9, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 5, 'bbox_center': 9}"
93,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 3, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 8}"
94,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 5, 'bbox_br': 8, 'bbox_center': 0}"
95,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 6, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
96,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 6, 'bbox_center': 0}"
97,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 9, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 8}"
98,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 3, 'bbox_bl': 5, 'bbox_br': 3, 'bbox_center': 0}"
99,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 8, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 1}"
100,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 2, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 4, 'bbox_bl': 6, 'bbox_br': 4, 'bbox_center': 4}"
101,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 6, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0}"
102,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 3, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 0}"
103,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 2, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 1}"
104,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 3, 'bbox_bl': 2, 'bbox_br': 3, 'bbox_center': 0}"
105,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 6, 'bbox_br': 8, 'bbox_center': 0}"
106,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 9, 'bbox_br': 8, 'bbox_center': 0}"
107,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 8, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 2, 'bbox_bl': 3, 'bbox_br': 8, 'bbox_center': 3}"
108,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 7, 'bbox_br': 6, 'bbox_center': 0}"
109,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 9, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 5, 'bbox_bl': 2, 'bbox_br': 5, 'bbox_center': 5}"
110,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 6, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 1, 'bbox_bl': 7, 'bbox_br': 1, 'bbox_center': 1}"
111,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 7, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 4}"
112,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 1, 'bbox_br': 5, 'bbox_center': 0}"
113,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 4, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 1, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 8}"
114,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 0}"
115,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 8, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 0}"
116,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 0}"
117,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 5, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 6}"
118,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 9, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 5}"
119,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
120,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 9, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 6}"
121,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 2, 'bbox_center': 0}"
122,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
123,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 6, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
124,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 2, 'bbox_center': 0}"
125,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 0}"
126,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 1, 'bbox_center': 6}"
127,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 4, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 7, 'bbox_bl': 1, 'bbox_br': 7, 'bbox_center': 1}"
128,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 9, 'bbox_bl': 9, 'bbox_br': 7, 'bbox_center': 0}"
129,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0}"
130,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 6, 'bbox_bl': 1, 'bbox_br': 6, 'bbox_center': 0}"
131,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 6, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 8}"
132,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 8, 'bbox_br': 3, 'bbox_center': 0}"
133,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 6, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 0}"
134,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 3, 'bbox_center': 8}"
135,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 8, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 0}"
136,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 7, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 6, 'bbox_center': 4}"
137,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 1, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 7}"
138,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 7, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 8, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 5}"
139,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0}"
140,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
141,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 2, 'bbox_bl': 6, 'bbox_br': 5, 'bbox_center': 0}"
142,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 4, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 7}"
143,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 7, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 5}"
144,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 0}"
145,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 5, 'bbox_br': 9, 'bbox_center': 0}"
146,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 7, 'bbox_br': 6, 'bbox_center': 0}"
147,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 6, 'bbox_center': 0}"
148,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 7, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0}"
149,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 4, 'bbox_center': 0}"
150,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
151,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 5, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 2, 'bbox_br': 7, 'bbox_center': 7}"
152,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0}"
153,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 0}"
154,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 7, 'bbox_center': 0}"
155,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 9, 'bbox_br': 6, 'bbox_center': 0}"
156,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
157,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0}"
158,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 4, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
159,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 7, 'bbox_br': 6, 'bbox_center': 0}"
160,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 6, 'bbox_center': 0}"
161,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 7, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 1}"
162,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 7, 'bbox_bl': 8, 'bbox_br': 7, 'bbox_center': 0}"
163,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 6, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 4, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 2}"
164,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 1, 'bbox_br': 5, 'bbox_center': 0}"
165,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 8, 'bbox_bl': 9, 'bbox_br': 2, 'bbox_center': 0}"
166,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 6, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 3, 'bbox_center': 4}"
167,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 8, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 2}"
168,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 0}"
169,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 3, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 4, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 4}"
170,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 4, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 7}"
171,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 1, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 1, 'bbox_center': 6}"
172,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
173,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 2, 'bbox_br': 7, 'bbox_center': 0}"
174,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 1, 'bbox_br': 5, 'bbox_center': 0}"
175,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 9, 'bbox_br': 2, 'bbox_center': 0}"
176,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 3, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 1}"
177,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
178,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
179,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 3, 'bbox_br': 2, 'bbox_center': 0}"
