all_changes_on_zero,all_changes_to_existing_colors,changed_bbox,changed_components,changed_coords_norm,changed_count,changed_from_to,idx,input_colors,input_nonzero_bbox,input_nonzero_count,input_shape,output_colors,output_equals_input_plus_sparse,output_nonzero_bbox,output_nonzero_count,output_shape,same_shape,split
False,True,"(1, 0, 12, 17)",5,1:12:2->0 1:13:8->0 2:0:9->0 3:0:0->9 8:17:2->0 12:12:0->2 12:17:0->2,7,2->0:2 0->2:2 8->0:1 9->0:1 0->9:1,64,0:262 2:21 8:1 9:20,"(1, 0, 13, 18)",42,"(16, 19)",0:263 2:21 9:20,True,"(3, 0, 13, 18)",41,"(16, 19)",True,arc-gen
False,True,"(2, 2, 22, 29)",11,2:5:0->9 2:17:9->0 5:7:5->0 10:5:0->9 10:6:9->0 17:2:1->0 17:14:0->4 17:24:4->0 17:25:0->1 19:5:0->9 19:24:9->0 19:29:5->0 22:17:5->0,13,0->9:3 9->0:3 5->0:3 1->0:1 0->4:1 4->0:1 0->1:1,65,0:694 1:28 4:28 5:3 7:27 9:30,"(0, 2, 26, 29)",116,"(27, 30)",0:697 1:28 4:28 7:27 9:30,True,"(0, 4, 26, 26)",113,"(27, 30)",True,arc-gen
False,True,"(2, 2, 9, 21)",8,2:2:4->0 3:2:2->0 3:3:0->2 6:15:7->0 6:17:0->7 8:5:0->2 8:15:2->0 8:21:4->0 9:8:7->0 9:17:0->7,10,4->0:2 2->0:2 0->2:2 7->0:2 0->7:2,66,0:309 2:17 4:2 5:15 7:17,"(0, 2, 14, 21)",51,"(15, 24)",0:311 2:17 5:15 7:17,True,"(0, 3, 14, 18)",49,"(15, 24)",True,arc-gen
False,True,"(3, 3, 18, 17)",8,3:7:0->7 3:16:7->0 5:13:0->2 5:17:2->0 7:13:0->2 7:16:2->0 18:3:7->0 18:5:0->7,8,0->7:2 7->0:2 0->2:2 2->0:2,67,0:387 2:25 7:25,"(0, 3, 22, 17)",50,"(23, 19)",0:387 2:25 7:25,True,"(0, 5, 22, 13)",50,"(23, 19)",True,arc-gen
False,True,"(1, 0, 20, 20)",8,1:0:9->0 3:20:9->0 5:11:0->3 5:13:3->0 13:6:9->0 20:1:9->0 20:12:2->0 20:15:0->2,8,9->0:4 0->3:1 3->0:1 2->0:1 0->2:1,68,0:426 2:25 3:25 8:24 9:4,"(0, 0, 23, 20)",78,"(24, 21)",0:430 2:25 3:25 8:24,True,"(0, 3, 23, 16)",74,"(24, 21)",True,arc-gen
False,True,"(1, 0, 22, 24)",16,1:1:5->0 4:2:4->0 4:19:0->4 5:5:0->7 5:9:7->0 9:5:0->7 9:23:7->0 12:7:4->0 12:19:0->4 14:13:0->2 14:24:2->0 16:8:4->0 16:19:0->4 16:22:5->0 22:0:5->0 22:10:2->0 22:11:0->2,17,5->0:3 4->0:3 0->4:3 0->7:2 7->0:2 0->2:2 2->0:2,69,0:518 2:26 4:27 5:3 7:26,"(0, 0, 23, 24)",82,"(24, 25)",0:521 2:26 4:27 7:26,True,"(0, 4, 23, 20)",79,"(24, 25)",True,arc-gen
False,True,"(0, 4, 24, 28)",18,0:6:2->0 1:9:9->0 2:4:4->0 3:16:4->0 4:4:0->4 4:16:0->4 6:26:0->4 7:20:2->0 9:28:9->0 12:9:0->6 12:15:0->6 13:15:6->0 13:26:4->0 14:25:2->0 17:6:0->2 17:20:0->2 17:25:0->2 20:24:9->0 24:9:6->0 24:13:9->0,20,9->0:4 2->0:3 4->0:3 0->4:3 0->2:3 0->6:2 6->0:2,70,0:626 2:32 4:32 6:31 9:4,"(0, 0, 24, 28)",99,"(25, 29)",0:630 2:32 4:32 6:31,True,"(4, 0, 18, 28)",95,"(25, 29)",True,arc-gen
False,True,"(0, 4, 8, 7)",6,0:6:3->0 4:4:0->6 4:5:0->6 4:7:0->6 6:5:6->0 7:7:6->0 8:4:6->0,7,0->6:3 6->0:3 3->0:1,71,0:227 2:21 3:1 6:24,"(0, 0, 12, 20)",46,"(13, 21)",0:228 2:21 6:24,True,"(3, 0, 12, 20)",45,"(13, 21)",True,arc-gen
False,True,"(4, 2, 28, 19)",12,4:2:5->0 7:7:0->9 8:3:5->0 8:9:4->0 14:10:0->6 17:10:6->0 18:5:5->0 19:2:0->5 19:3:0->5 19:5:0->5 21:19:0->5 22:19:5->0 23:3:4->0 28:6:4->0 28:7:9->0 28:14:4->0,16,5->0:4 4->0:4 0->5:4 0->9:1 0->6:1 6->0:1 9->0:1,72,0:490 3:20 4:4 5:24 6:21 9:21,"(4, 0, 28, 19)",90,"(29, 20)",0:494 3:20 5:24 6:21 9:21,True,"(6, 0, 26, 19)",86,"(29, 20)",True,arc-gen
False,True,"(7, 0, 12, 7)",4,7:2:7->0 7:6:0->9 7:7:9->0 12:0:9->0 12:4:0->9,5,0->9:2 9->0:2 7->0:1,73,0:162 7:1 9:17,"(0, 0, 14, 7)",18,"(15, 12)",0:163 9:17,True,"(0, 4, 14, 6)",17,"(15, 12)",True,arc-gen
False,True,"(10, 4, 17, 10)",4,10:6:4->0 10:10:0->4 17:4:0->6 17:7:6->0,4,4->0:1 0->4:1 0->6:1 6->0:1,74,0:286 4:25 6:25,"(0, 3, 23, 11)",50,"(24, 14)",0:286 4:25 6:25,True,"(0, 3, 23, 11)",50,"(24, 14)",True,arc-gen
False,True,"(4, 13, 11, 26)",5,4:13:0->9 4:26:0->9 6:13:9->0 7:18:4->0 8:18:0->4 11:26:9->0,6,0->9:2 9->0:2 4->0:1 0->4:1,75,0:477 3:30 4:31 9:32,"(3, 0, 16, 29)",93,"(19, 30)",0:477 3:30 4:31 9:32,True,"(3, 0, 16, 29)",93,"(19, 30)",True,arc-gen
False,True,"(7, 1, 23, 17)",6,7:6:0->1 16:1:5->0 18:17:5->0 21:15:0->8 22:6:1->0 23:15:8->0,6,5->0:2 0->1:1 0->8:1 1->0:1 8->0:1,76,0:392 1:19 4:18 5:2 8:19,"(6, 0, 23, 17)",58,"(25, 18)",0:394 1:19 4:18 8:19,True,"(6, 0, 21, 17)",56,"(25, 18)",True,arc-gen
False,True,"(4, 3, 20, 23)",10,4:9:0->6 7:5:1->0 9:18:1->0 10:3:7->0 10:9:6->0 10:20:8->0 11:5:0->1 11:18:0->1 17:3:0->7 19:23:0->7 20:23:7->0,11,1->0:2 7->0:2 0->1:2 0->7:2 0->6:1 6->0:1 8->0:1,77,0:480 1:29 6:28 7:29 8:1,"(3, 0, 20, 26)",87,"(21, 27)",0:481 1:29 6:28 7:29,True,"(3, 0, 19, 26)",86,"(21, 27)",True,arc-gen
False,True,"(2, 4, 15, 22)",11,2:6:1->0 2:10:0->1 7:4:0->3 7:16:3->0 8:7:5->0 8:17:0->5 11:4:0->3 11:22:3->0 14:9:1->0 14:10:0->1 15:12:0->1 15:22:1->0,12,1->0:3 0->1:3 0->3:2 3->0:2 5->0:1 0->5:1,78,0:334 1:20 3:19 5:18,"(0, 3, 16, 22)",57,"(17, 23)",0:334 1:20 3:19 5:18,True,"(0, 3, 16, 18)",57,"(17, 23)",True,arc-gen
False,True,"(4, 3, 18, 19)",5,4:3:0->7 4:4:0->7 13:12:0->2 15:19:1->0 16:12:2->0 18:3:7->0 18:4:7->0,7,0->7:2 7->0:2 0->2:1 1->0:1 2->0:1,79,0:500 1:1 2:29 7:30 8:28,"(3, 0, 20, 27)",88,"(21, 28)",0:501 2:29 7:30 8:28,True,"(3, 0, 20, 27)",87,"(21, 28)",True,arc-gen
False,True,"(1, 0, 26, 10)",8,1:3:5->0 1:10:0->5 2:8:5->0 2:10:0->5 17:3:1->0 17:4:0->1 23:0:1->0 23:4:0->1 26:6:0->1 26:8:1->0,10,1->0:3 0->1:3 5->0:2 0->5:2,80,0:331 1:31 5:30,"(0, 0, 27, 11)",61,"(28, 14)",0:331 1:31 5:30,True,"(0, 4, 27, 11)",61,"(28, 14)",True,arc-gen
False,True,"(2, 2, 10, 19)",7,2:2:6->0 2:11:4->0 3:2:0->6 5:16:0->6 5:18:0->6 8:19:4->0 10:16:6->0 10:18:6->0,8,6->0:3 0->6:3 4->0:2,81,0:415 3:28 4:2 6:31,"(2, 0, 13, 27)",61,"(17, 28)",0:417 3:28 6:31,True,"(3, 0, 13, 27)",59,"(17, 28)",True,arc-gen
False,True,"(3, 1, 24, 15)",10,3:15:7->0 12:4:0->2 12:10:2->0 16:8:7->0 17:4:0->2 17:14:2->0 20:13:0->9 20:14:9->0 23:1:9->0 23:4:0->2 23:10:2->0 23:11:0->9 24:10:7->0,13,7->0:3 0->2:3 2->0:3 0->9:2 9->0:2,82,0:342 2:28 7:3 9:27,"(0, 1, 24, 15)",58,"(25, 16)",0:345 2:28 9:27,True,"(0, 3, 24, 13)",55,"(25, 16)",True,arc-gen
False,True,"(11, 6, 29, 22)",6,11:16:9->0 13:13:0->5 13:22:5->0 14:13:0->5 14:22:5->0 28:6:6->0 28:17:0->6 29:15:6->0 29:17:0->6,9,0->5:2 5->0:2 6->0:2 0->6:2 9->0:1,83,0:625 2:30 5:32 6:32 9:1,"(0, 4, 29, 22)",95,"(30, 24)",0:626 2:30 5:32 6:32,True,"(0, 4, 29, 18)",94,"(30, 24)",True,arc-gen
False,True,"(2, 0, 8, 9)",4,2:1:2->0 5:6:0->9 5:9:9->0 6:6:0->9 6:7:9->0 8:0:2->0,6,2->0:2 0->9:2 9->0:2,84,0:212 2:2 9:20,"(0, 0, 17, 9)",22,"(18, 13)",0:214 9:20,True,"(0, 5, 17, 6)",20,"(18, 13)",True,arc-gen
False,True,"(1, 1, 18, 15)",8,1:6:8->0 2:15:8->0 6:5:0->5 9:5:5->0 10:1:8->0 18:1:0->8 18:6:0->8 18:15:0->8,8,8->0:3 0->8:3 0->5:1 5->0:1,85,0:285 5:18 7:17 8:20,"(1, 0, 19, 16)",55,"(20, 17)",0:285 5:18 7:17 8:20,True,"(5, 0, 19, 16)",55,"(20, 17)",True,arc-gen
False,True,"(7, 1, 26, 23)",11,7:1:3->0 13:15:0->2 13:22:2->0 19:21:0->9 19:23:9->0 23:10:2->0 23:13:0->2 24:2:8->0 24:5:0->8 26:2:2->0 26:13:0->2,11,0->2:3 2->0:3 3->0:1 0->9:1 9->0:1 8->0:1 0->8:1,86,0:603 2:32 3:1 8:30 9:30,"(0, 1, 28, 23)",93,"(29, 24)",0:604 2:32 8:30 9:30,True,"(0, 5, 28, 21)",92,"(29, 24)",True,arc-gen
False,True,"(2, 1, 14, 14)",5,2:14:3->0 5:14:0->3 7:1:0->3 7:2:0->3 11:1:3->0 14:2:3->0,6,3->0:3 0->3:3,87,0:263 3:22,"(2, 0, 14, 18)",22,"(15, 19)",0:263 3:22,True,"(5, 0, 7, 18)",22,"(15, 19)",True,arc-gen
False,True,"(3, 0, 24, 22)",16,3:7:8->0 3:11:7->0 3:13:0->8 3:19:0->7 9:6:0->4 9:16:4->0 10:0:4->0 10:4:0->4 10:7:7->0 10:15:0->8 10:19:0->7 10:22:8->0 23:0:8->0 23:13:0->8 23:17:7->0 23:19:0->7 24:0:7->0 24:19:0->7,18,7->0:4 0->7:4 8->0:3 0->8:3 0->4:2 4->0:2,88,0:531 4:29 7:31 8:30,"(0, 0, 26, 22)",90,"(27, 23)",0:531 4:29 7:31 8:30,True,"(0, 4, 26, 20)",90,"(27, 23)",True,arc-gen
False,True,"(9, 1, 26, 12)",6,9:3:4->0 10:10:8->0 10:12:0->8 20:2:4->0 26:1:2->0 26:4:0->2,6,4->0:2 8->0:1 0->8:1 2->0:1 0->2:1,89,0:347 2:28 4:2 8:28,"(0, 1, 26, 13)",58,"(27, 15)",0:349 2:28 8:28,True,"(0, 4, 26, 13)",56,"(27, 15)",True,arc-gen
False,True,"(0, 1, 9, 19)",7,0:16:2->0 3:1:6->0 3:19:6->0 4:1:0->6 4:19:0->6 6:3:0->6 6:12:0->6 9:3:6->0 9:12:6->0,9,6->0:4 0->6:4 2->0:1,90,0:215 2:1 6:24,"(0, 0, 9, 19)",25,"(12, 20)",0:216 6:24,True,"(4, 0, 6, 19)",24,"(12, 20)",True,arc-gen
False,True,"(1, 2, 11, 12)",7,1:7:0->5 1:11:5->0 4:3:2->0 5:8:1->0 5:12:0->1 11:2:1->0 11:12:0->1,7,1->0:2 0->1:2 0->5:1 5->0:1 2->0:1,91,0:302 1:20 2:1 5:19,"(0, 2, 17, 13)",40,"(18, 19)",0:303 1:20 5:19,True,"(0, 6, 17, 13)",39,"(18, 19)",True,arc-gen
False,True,"(1, 1, 28, 20)",11,1:11:2->0 1:20:0->2 9:15:0->9 9:17:9->0 23:1:6->0 23:4:0->6 25:10:2->0 25:17:1->0 25:20:0->2 28:11:2->0 28:20:0->2,11,2->0:3 0->2:3 0->9:1 9->0:1 6->0:1 0->6:1 1->0:1,92,0:594 1:1 2:33 6:31 9:31,"(0, 1, 29, 21)",96,"(30, 23)",0:595 2:33 6:31 9:31,True,"(0, 4, 29, 21)",95,"(30, 23)",True,arc-gen
False,True,"(1, 1, 15, 27)",13,1:5:0->3 1:17:3->0 4:2:2->0 4:5:0->3 4:9:3->0 4:18:0->2 10:6:8->0 10:27:0->8 12:5:0->3 12:9:3->0 13:1:5->0 15:21:8->0 15:27:0->8,13,0->3:3 3->0:3 8->0:2 0->8:2 2->0:1 0->2:1 5->0:1,93,0:409 2:17 3:19 5:1 8:18 9:16,"(0, 1, 15, 28)",71,"(16, 30)",0:410 2:17 3:19 8:18 9:16,True,"(0, 4, 15, 28)",70,"(16, 30)",True,arc-gen
False,True,"(3, 0, 26, 15)",6,3:7:0->3 3:15:3->0 7:0:2->0 17:4:3->0 17:5:0->3 25:3:2->0 26:8:2->0,7,2->0:3 0->3:2 3->0:2,94,0:427 2:3 3:29 7:27,"(0, 0, 26, 15)",59,"(27, 18)",0:430 3:29 7:27,True,"(0, 5, 26, 13)",56,"(27, 18)",True,arc-gen
False,True,"(9, 2, 15, 15)",8,9:11:0->9 9:15:9->0 12:2:9->0 12:9:0->9 14:5:0->1 14:14:1->0 15:11:0->9 15:15:9->0,8,0->9:3 9->0:3 0->1:1 1->0:1,95,0:546 1:26 8:25 9:28,"(0, 2, 24, 19)",79,"(25, 25)",0:546 1:26 8:25 9:28,True,"(0, 4, 24, 19)",79,"(25, 25)",True,arc-gen
False,True,"(0, 0, 9, 16)",8,0:13:0->9 0:14:9->0 3:13:0->9 3:16:9->0 7:0:9->0 7:11:0->9 8:4:0->1 8:10:1->0 9:13:0->9 9:14:9->0,10,0->9:4 9->0:4 0->1:1 1->0:1,96,0:295 1:21 9:24,"(0, 0, 19, 16)",45,"(20, 17)",0:295 1:21 9:24,True,"(0, 3, 19, 13)",45,"(20, 17)",True,arc-gen
False,True,"(1, 1, 17, 29)",13,1:27:0->9 1:28:9->0 4:6:5->0 4:9:0->5 6:7:5->0 6:9:0->5 9:1:5->0 9:9:0->5 11:1:3->0 11:18:0->3 15:5:0->7 15:29:7->0 16:5:0->7 16:24:7->0 17:11:0->5 17:24:5->0,16,5->0:4 0->5:4 0->7:2 7->0:2 0->9:1 9->0:1 3->0:1 0->3:1,97,0:668 3:27 5:30 7:28 9:27,"(0, 1, 25, 29)",112,"(26, 30)",0:668 3:27 5:30 7:28 9:27,True,"(0, 4, 25, 27)",112,"(26, 30)",True,arc-gen
False,True,"(6, 4, 13, 12)",6,6:4:0->6 6:12:0->6 8:8:4->0 11:12:6->0 12:4:6->0 13:8:0->4,6,0->6:2 6->0:2 4->0:1 0->4:1,98,0:192 4:14 6:15,"(5, 0, 14, 12)",29,"(17, 13)",0:192 4:14 6:15,True,"(5, 0, 14, 12)",29,"(17, 13)",True,arc-gen
False,True,"(3, 0, 25, 23)",12,3:0:9->0 3:5:0->2 3:15:2->0 7:15:9->0 12:5:0->2 12:12:2->0 14:5:0->2 14:14:3->0 14:16:2->0 14:17:0->3 20:8:9->0 25:19:0->3 25:23:3->0,13,9->0:3 0->2:3 2->0:3 3->0:2 0->3:2,99,0:538 2:29 3:28 5:26 9:3,"(0, 0, 25, 23)",86,"(26, 24)",0:541 2:29 3:28 5:26,True,"(0, 4, 25, 19)",83,"(26, 24)",True,arc-gen
False,True,"(1, 2, 11, 20)",11,1:2:2->0 1:5:0->2 4:2:2->0 4:5:0->2 5:14:0->3 5:17:3->0 6:7:0->2 6:10:2->0 7:15:1->0 7:20:0->1 11:2:6->0,11,2->0:3 0->2:3 0->3:1 3->0:1 1->0:1 0->1:1 6->0:1,100,0:280 1:14 2:16 3:14 6:1,"(0, 2, 12, 21)",45,"(13, 25)",0:281 1:14 2:16 3:14,True,"(0, 5, 12, 21)",44,"(13, 25)",True,arc-gen
False,True,"(1, 5, 11, 11)",4,1:5:0->4 1:11:4->0 11:5:0->4 11:9:4->0,4,0->4:2 4->0:2,101,0:141 4:15,"(0, 4, 12, 11)",15,"(13, 12)",0:141 4:15,True,"(0, 4, 12, 5)",15,"(13, 12)",True,arc-gen
False,True,"(1, 2, 17, 23)",7,1:11:2->0 1:23:2->0 4:2:0->3 4:23:0->3 6:23:3->0 8:3:2->0 17:2:3->0,7,2->0:3 0->3:2 3->0:2,102,0:565 1:30 2:3 3:32 6:30,"(1, 0, 19, 29)",95,"(22, 30)",0:568 1:30 3:32 6:30,True,"(3, 0, 19, 29)",92,"(22, 30)",True,arc-gen
False,True,"(6, 7, 11, 13)",4,6:12:2->0 9:7:8->0 9:13:0->8 11:12:8->0 11:13:0->8,5,8->0:2 0->8:2 2->0:1,103,0:252 2:1 5:15 8:17,"(0, 5, 14, 14)",33,"(15, 19)",0:253 5:15 8:17,True,"(0, 5, 14, 14)",32,"(15, 19)",True,arc-gen
False,True,"(5, 1, 27, 11)",11,5:1:4->0 5:11:0->4 7:2:2->0 7:6:0->8 7:9:8->0 9:8:2->0 15:2:8->0 15:4:0->8 20:10:4->0 20:11:0->4 27:6:0->8 27:8:8->0,12,0->8:3 8->0:3 4->0:2 0->4:2 2->0:2,104,0:383 2:2 4:32 8:33,"(0, 1, 29, 12)",67,"(30, 15)",0:385 4:32 8:33,True,"(0, 4, 29, 12)",65,"(30, 15)",True,arc-gen
False,True,"(3, 5, 12, 14)",4,3:14:9->0 7:5:0->2 11:5:2->0 12:14:0->9,4,9->0:1 0->2:1 2->0:1 0->9:1,105,0:232 2:19 9:19,"(3, 0, 13, 17)",38,"(15, 18)",0:232 2:19 9:19,True,"(6, 0, 13, 17)",38,"(15, 18)",True,arc-gen
False,True,"(2, 3, 15, 17)",6,2:4:1->0 4:4:0->1 6:3:0->1 7:3:1->0 7:7:5->0 8:9:5->0 14:17:0->2 15:17:2->0,8,1->0:2 0->1:2 5->0:2 0->2:1 2->0:1,106,0:373 1:29 2:28 5:2,"(2, 0, 15, 26)",59,"(16, 27)",0:375 1:29 2:28,True,"(4, 0, 14, 26)",57,"(16, 27)",True,arc-gen
False,True,"(1, 8, 18, 16)",5,1:8:3->0 5:13:0->1 5:15:1->0 15:16:3->0 18:8:3->0,5,3->0:3 0->1:1 1->0:1,107,0:353 1:22 3:3 6:21,"(0, 3, 20, 16)",46,"(21, 19)",0:356 1:22 6:21,True,"(0, 3, 20, 13)",43,"(21, 19)",True,arc-gen
False,True,"(1, 0, 23, 21)",12,1:17:3->0 1:20:6->0 1:21:7->0 3:20:0->6 5:0:0->6 5:14:0->6 8:2:7->0 10:2:0->7 10:21:0->7 16:0:6->0 16:14:6->0 19:17:0->3 23:19:5->0,13,6->0:3 0->6:3 7->0:2 0->7:2 3->0:1 0->3:1 5->0:1,108,0:476 3:24 5:1 6:26 7:25,"(1, 0, 23, 22)",76,"(24, 23)",0:477 3:24 6:26 7:25,True,"(3, 0, 20, 22)",75,"(24, 23)",True,arc-gen
False,True,"(2, 7, 17, 14)",5,2:7:8->0 5:13:0->3 5:14:0->3 11:14:9->0 12:14:0->9 16:13:3->0 17:14:3->0,7,0->3:2 3->0:2 8->0:1 9->0:1 0->9:1,109,0:341 1:15 3:17 8:1 9:16,"(2, 0, 19, 14)",49,"(26, 15)",0:342 1:15 3:17 9:16,True,"(4, 0, 19, 14)",48,"(26, 15)",True,arc-gen
False,True,"(2, 11, 7, 13)",3,2:11:8->0 4:11:0->8 6:13:0->8 7:13:8->0,4,8->0:2 0->8:2,110,0:240 2:22 8:24,"(2, 0, 12, 21)",46,"(13, 22)",0:240 2:22 8:24,True,"(4, 0, 12, 21)",46,"(13, 22)",True,arc-gen
False,True,"(7, 2, 23, 13)",9,7:7:0->3 7:10:0->3 7:13:0->3 8:10:3->0 12:3:1->0 12:12:2->0 13:12:0->2 15:2:0->2 16:2:2->0 19:13:3->0 20:3:0->1 23:7:3->0,12,0->3:3 3->0:3 2->0:2 0->2:2 1->0:1 0->1:1,111,0:500 1:23 2:24 3:25,"(6, 0, 23, 21)",72,"(26, 22)",0:500 1:23 2:24 3:25,True,"(6, 0, 21, 21)",72,"(26, 22)",True,arc-gen
False,True,"(2, 0, 11, 10)",4,2:0:6->0 2:3:0->6 5:1:8->0 11:10:8->0,4,8->0:2 6->0:1 0->6:1,112,0:184 6:18 8:2,"(0, 0, 16, 10)",20,"(17, 12)",0:186 6:18,True,"(0, 3, 16, 4)",18,"(17, 12)",True,arc-gen
False,True,"(4, 1, 4, 12)",2,4:1:5->0 4:12:0->5,2,5->0:1 0->5:1,113,0:179 1:12 5:13,"(0, 1, 11, 13)",25,"(12, 17)",0:179 1:12 5:13,True,"(0, 6, 11, 13)",25,"(12, 17)",True,arc-gen
False,True,"(0, 0, 29, 21)",22,0:18:6->0 2:6:4->0 3:0:6->0 6:6:0->5 6:11:0->5 6:21:0->5 7:4:6->0 9:15:2->0 11:2:6->0 14:17:0->7 15:11:5->0 15:17:2->0 17:17:4->0 18:6:5->0 18:17:7->0 19:0:0->6 19:2:0->6 19:4:0->6 19:18:0->6 22:21:5->0 25:15:0->2 25:17:0->2 27:2:0->2 29:2:2->0,24,6->0:4 0->6:4 0->5:3 2->0:3 5->0:3 0->2:3 4->0:2 0->7:1 7->0:1,114,0:585 2:26 4:2 5:26 6:27 7:24,"(0, 0, 29, 22)",105,"(30, 23)",0:587 2:26 5:26 6:27 7:24,False,"(5, 0, 27, 22)",103,"(30, 23)",True,arc-gen
False,True,"(1, 0, 11, 17)",8,1:17:8->0 2:0:4->0 2:5:0->4 7:17:8->0 9:10:5->0 9:12:0->5 11:7:0->4 11:10:4->0,8,8->0:2 4->0:2 0->4:2 5->0:1 0->5:1,115,0:216 4:15 5:14 8:2,"(0, 0, 12, 17)",31,"(13, 19)",0:218 4:15 5:14,True,"(0, 5, 12, 13)",29,"(13, 19)",True,arc-gen
False,True,"(0, 0, 17, 28)",15,0:6:0->7 0:11:7->0 3:0:5->0 3:12:0->5 5:15:1->0 5:20:0->1 8:19:1->0 8:20:0->1 9:2:1->0 9:20:0->1 10:2:9->0 10:27:2->0 10:28:0->9 11:7:9->0 11:28:0->9 12:2:2->0 13:15:1->0 13:20:0->1 17:6:0->7 17:24:7->0,20,1->0:4 0->1:4 0->7:2 7->0:2 9->0:2 2->0:2 0->9:2 5->0:1 0->5:1,116,0:743 1:33 2:2 5:30 7:31 9:31,"(0, 0, 28, 29)",127,"(29, 30)",0:745 1:33 5:30 7:31 9:31,True,"(0, 5, 28, 29)",125,"(29, 30)",True,arc-gen
False,True,"(0, 3, 21, 28)",11,0:9:4->0 1:11:1->0 3:9:0->4 5:3:0->4 5:28:0->4 10:24:8->0 10:28:4->0 12:24:0->8 14:14:0->8 15:3:4->0 15:14:8->0 21:11:0->1,12,4->0:3 0->4:3 8->0:2 0->8:2 1->0:1 0->1:1,117,0:603 1:30 4:32 8:31,"(0, 0, 22, 28)",93,"(24, 29)",0:603 1:30 4:32 8:31,True,"(3, 0, 22, 28)",93,"(24, 29)",True,arc-gen
False,True,"(4, 9, 11, 11)",4,4:9:0->1 4:11:0->1 6:11:1->0 11:9:1->0,4,0->1:2 1->0:2,118,0:208 1:17 5:15 6:15,"(3, 0, 16, 14)",47,"(17, 15)",0:208 1:17 5:15 6:15,True,"(3, 0, 16, 14)",47,"(17, 15)",True,arc-gen
False,True,"(4, 3, 22, 16)",7,4:10:0->3 5:16:1->0 6:10:3->0 12:3:0->4 13:3:4->0 17:6:1->0 21:6:0->5 21:15:0->5 22:6:5->0 22:15:5->0,10,1->0:2 0->5:2 5->0:2 0->3:1 3->0:1 0->4:1 4->0:1,119,0:444 1:2 3:19 4:19 5:20,"(3, 0, 22, 17)",60,"(28, 18)",0:446 3:19 4:19 5:20,True,"(3, 0, 21, 17)",58,"(28, 18)",True,arc-gen
False,True,"(10, 2, 19, 21)",5,10:2:7->0 10:3:0->7 17:14:0->4 17:16:4->0 19:15:2->0 19:21:0->2,6,7->0:1 0->7:1 0->4:1 4->0:1 2->0:1 0->2:1,120,0:503 2:24 4:24 7:24,"(0, 2, 22, 22)",72,"(23, 25)",0:503 2:24 4:24 7:24,True,"(0, 3, 22, 22)",72,"(23, 25)",True,arc-gen
False,True,"(12, 0, 24, 19)",14,12:4:0->5 12:8:8->0 12:16:5->0 12:19:0->8 13:0:8->0 13:19:0->8 15:13:0->3 15:17:3->0 16:6:8->0 16:19:0->8 22:18:8->0 22:19:0->8 23:1:3->0 23:11:0->3 24:13:0->3 24:15:3->0,16,8->0:4 0->8:4 0->3:3 3->0:3 0->5:1 5->0:1,121,0:580 3:31 5:29 8:32,"(0, 0, 27, 20)",92,"(28, 24)",0:580 3:31 5:29 8:32,True,"(0, 3, 27, 20)",92,"(28, 24)",True,arc-gen
False,True,"(0, 5, 13, 19)",9,0:17:1->0 7:10:0->5 7:11:0->5 7:19:0->5 8:5:1->0 8:11:5->0 9:19:5->0 10:10:5->0 12:7:1->0 13:5:0->1 13:7:0->1 13:17:0->1,12,1->0:3 0->5:3 5->0:3 0->1:3,122,0:324 1:25 5:25,"(0, 0, 14, 21)",50,"(17, 22)",0:324 1:25 5:25,True,"(6, 0, 14, 21)",50,"(17, 22)",True,arc-gen
False,True,"(8, 12, 13, 19)",3,8:12:7->0 11:19:9->0 13:12:0->7,3,7->0:1 9->0:1 0->7:1,123,0:343 1:23 7:24 9:1,"(6, 0, 14, 22)",48,"(17, 23)",0:344 1:23 7:24,True,"(6, 0, 14, 22)",47,"(17, 23)",True,arc-gen
False,True,"(1, 2, 21, 13)",11,1:10:5->0 4:10:0->5 6:3:0->5 6:12:0->5 6:13:0->5 8:2:7->0 8:4:7->0 9:3:5->0 12:6:0->3 13:6:3->0 13:12:5->0 16:3:9->0 17:3:0->9 21:13:5->0,14,5->0:4 0->5:4 7->0:2 0->3:1 3->0:1 9->0:1 0->9:1,124,0:286 3:15 5:18 7:2 9:15,"(1, 0, 21, 13)",50,"(24, 14)",0:288 3:15 5:18 9:15,True,"(4, 0, 18, 13)",48,"(24, 14)",True,arc-gen
False,True,"(1, 2, 24, 11)",8,1:9:9->0 6:2:0->5 9:2:5->0 11:9:0->9 14:11:2->0 18:11:0->2 21:11:7->0 24:11:0->7,8,9->0:1 0->5:1 5->0:1 0->9:1 2->0:1 0->2:1 7->0:1 0->7:1,125,0:296 2:13 5:13 7:13 9:13,"(1, 0, 25, 11)",52,"(29, 12)",0:296 2:13 5:13 7:13 9:13,True,"(5, 0, 25, 11)",52,"(29, 12)",True,arc-gen
