idx,split,object_count,output_shape,matching_object_ranks,object_rows
44,arc-gen,3,"(4, 3)",[0],"[{""bbox"": [0, 5, 4, 8], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 3, ""count2"": 4, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 0, 6, 3], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 4, 8, 8], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 2, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
45,arc-gen,2,"(3, 6)",[0],"[{""bbox"": [0, 2, 3, 8], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 7, ""count2"": 3, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 2, 10, 8], ""h"": 6, ""w"": 6, ""area"": 36, ""nz"": 36, ""count1"": 15, ""count2"": 2, ""count8"": 19, ""colors"": [1, 2, 8], ""rank"": 1}]"
46,arc-gen,2,"(4, 3)",[1],"[{""bbox"": [1, 4, 4, 10], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 12, ""count2"": 2, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [2, 0, 6, 3], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 4, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 1}]"
47,arc-gen,2,"(4, 4)",[0],"[{""bbox"": [3, 0, 7, 4], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 5, ""count2"": 2, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [7, 6, 10, 10], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 8, ""count2"": 1, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 1}]"
48,arc-gen,3,"(3, 5)",[1],"[{""bbox"": [0, 1, 3, 7], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 8, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [6, 1, 9, 6], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 7, ""count2"": 4, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 7, 10, 10], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 1, ""count2"": 1, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 2}]"
49,arc-gen,3,"(4, 5)",[2],"[{""bbox"": [0, 2, 5, 5], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 1, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 6, 8, 9], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 3, ""count2"": 2, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 0, 10, 5], ""h"": 4, ""w"": 5, ""area"": 20, ""nz"": 20, ""count1"": 8, ""count2"": 4, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 2}]"
50,arc-gen,2,"(4, 3)",[0],"[{""bbox"": [2, 3, 6, 6], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 4, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [7, 3, 10, 6], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 5, ""count2"": 1, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 1}]"
51,arc-gen,3,"(3, 4)",[0],"[{""bbox"": [1, 5, 4, 9], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 4, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 0, 8, 3], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 2, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 4, 9, 10], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 13, ""count2"": 1, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 2}]"
52,arc-gen,3,"(3, 4)",[2],"[{""bbox"": [0, 1, 4, 6], ""h"": 4, ""w"": 5, ""area"": 20, ""nz"": 20, ""count1"": 10, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 1, 9, 5], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 8, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 6, 9, 10], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 4, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 2}]"
53,arc-gen,3,"(3, 6)",[1],"[{""bbox"": [0, 1, 4, 7], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 9, ""count2"": 2, ""count8"": 13, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [6, 0, 9, 6], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 7, ""count2"": 3, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 7, 10, 10], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 1, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
54,arc-gen,3,"(5, 4)",[0],"[{""bbox"": [0, 0, 5, 4], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 8, ""count2"": 4, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 6, 8, 9], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 4, ""count2"": 2, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 1, 9, 4], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 3, ""count2"": 3, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 2}]"
55,arc-gen,3,"(3, 3)",[2],"[{""bbox"": [0, 1, 6, 4], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 12, ""count2"": 1, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [2, 5, 6, 9], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 5, ""count2"": 3, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 0, 10, 3], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 1, ""count2"": 4, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
56,arc-gen,3,"(3, 3)",[1],"[{""bbox"": [1, 0, 5, 3], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 2, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [2, 4, 5, 7], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 4, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 1, 10, 7], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 11, ""count2"": 3, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 2}]"
57,arc-gen,2,"(3, 5)",[0],"[{""bbox"": [0, 4, 3, 9], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [7, 6, 10, 9], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 2, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 1}]"
58,arc-gen,3,"(3, 5)",[2],"[{""bbox"": [0, 5, 5, 8], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 2, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [2, 1, 6, 4], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 3, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 0, 10, 5], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 8, ""count2"": 4, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 2}]"
59,arc-gen,2,"(6, 3)",[0],"[{""bbox"": [1, 7, 7, 10], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 6, ""count2"": 4, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [2, 0, 6, 4], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 5, ""count2"": 2, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 1}]"
60,arc-gen,3,"(3, 4)",[0],"[{""bbox"": [0, 6, 3, 10], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 3, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 1, 8, 5], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 7, ""count2"": 1, ""count8"": 12, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 7, 9, 10], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 2, ""count2"": 2, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 2}]"
61,arc-gen,2,"(5, 5)",[0],"[{""bbox"": [0, 0, 5, 5], ""h"": 5, ""w"": 5, ""area"": 25, ""nz"": 25, ""count1"": 13, ""count2"": 4, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [7, 2, 10, 7], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 10, ""count2"": 1, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 1}]"
62,arc-gen,2,"(4, 5)",[0],"[{""bbox"": [1, 5, 5, 10], ""h"": 4, ""w"": 5, ""area"": 20, ""nz"": 20, ""count1"": 10, ""count2"": 4, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [6, 5, 9, 10], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 2, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}]"
63,arc-gen,3,"(4, 3)",[2],"[{""bbox"": [0, 1, 4, 7], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 10, ""count2"": 2, ""count8"": 12, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 0, 9, 5], ""h"": 4, ""w"": 5, ""area"": 20, ""nz"": 20, ""count1"": 11, ""count2"": 1, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 7, 10, 10], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 3, ""count2"": 4, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
64,arc-gen,2,"(5, 4)",[1],"[{""bbox"": [4, 1, 7, 5], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 7, ""count2"": 1, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 6, 10, 10], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 8, ""count2"": 2, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 1}]"
65,arc-gen,3,"(6, 3)",[1],"[{""bbox"": [0, 4, 4, 9], ""h"": 4, ""w"": 5, ""area"": 20, ""nz"": 20, ""count1"": 15, ""count2"": 1, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 0, 9, 3], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 8, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 6, 9, 9], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 3, ""count2"": 2, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
66,arc-gen,3,"(5, 4)",[0],"[{""bbox"": [1, 5, 6, 9], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 10, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 0, 9, 3], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 2, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 6, 10, 10], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 7, ""count2"": 1, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
67,arc-gen,3,"(4, 6)",[2],"[{""bbox"": [1, 3, 4, 9], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 10, ""count2"": 1, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 0, 10, 3], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 2, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 4, 9, 10], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 12, ""count2"": 4, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 2}]"
68,arc-gen,3,"(5, 3)",[0],"[{""bbox"": [0, 0, 5, 3], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 4, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [2, 4, 6, 7], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 1, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 2, 10, 6], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 7, ""count2"": 2, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 2}]"
69,arc-gen,3,"(3, 6)",[2],"[{""bbox"": [0, 4, 4, 9], ""h"": 4, ""w"": 5, ""area"": 20, ""nz"": 20, ""count1"": 13, ""count2"": 2, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 0, 4, 3], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 1, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 0, 8, 6], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 9, ""count2"": 4, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
70,arc-gen,3,"(4, 3)",[0],"[{""bbox"": [0, 1, 4, 4], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 4, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 5, 6, 8], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 6, 10, 9], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 3, ""count2"": 2, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
71,arc-gen,3,"(4, 4)",[2],"[{""bbox"": [0, 6, 4, 10], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 6, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 1, 9, 4], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 2, ""count2"": 2, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 6, 10, 10], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 7, ""count2"": 4, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
72,arc-gen,3,"(4, 4)",[2],"[{""bbox"": [0, 0, 3, 3], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 2, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [2, 6, 6, 9], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 9, ""count2"": 1, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [4, 0, 8, 4], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 6, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 2}]"
73,arc-gen,2,"(6, 5)",[1],"[{""bbox"": [2, 1, 6, 4], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 2, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 5, 10, 10], ""h"": 6, ""w"": 5, ""area"": 30, ""nz"": 30, ""count1"": 12, ""count2"": 3, ""count8"": 15, ""colors"": [1, 2, 8], ""rank"": 1}]"
74,arc-gen,3,"(3, 6)",[0],"[{""bbox"": [0, 3, 3, 9], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 8, ""count2"": 4, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [6, 1, 9, 5], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 1, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 7, 9, 10], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 1, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 2}]"
75,arc-gen,2,"(4, 6)",[0],"[{""bbox"": [1, 2, 5, 8], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 7, ""count2"": 3, ""count8"": 14, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [6, 3, 10, 6], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 4, ""count2"": 1, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}]"
76,arc-gen,2,"(6, 3)",[1],"[{""bbox"": [2, 1, 8, 4], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 8, ""count2"": 1, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 6, 9, 9], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 7, ""count2"": 3, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}]"
77,arc-gen,3,"(5, 3)",[1],"[{""bbox"": [1, 6, 6, 9], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [2, 0, 7, 3], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 2, ""count2"": 4, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 4, 10, 10], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 8, ""count2"": 1, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 2}]"
78,arc-gen,3,"(3, 3)",[2],"[{""bbox"": [1, 1, 4, 6], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 9, ""count2"": 2, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 6, 9, 10], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 8, ""count2"": 1, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 1, 9, 4], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 5, ""count2"": 4, ""count8"": 0, ""colors"": [1, 2], ""rank"": 2}]"
79,arc-gen,3,"(4, 4)",[2],"[{""bbox"": [0, 3, 3, 9], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 6, ""count2"": 2, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 0, 10, 4], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 9, ""count2"": 1, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 6, 9, 10], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 8, ""count2"": 4, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
80,arc-gen,3,"(3, 6)",[1],"[{""bbox"": [0, 0, 3, 3], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 3, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [0, 4, 3, 10], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 7, ""count2"": 4, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 2, 9, 5], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 4, ""count2"": 1, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 2}]"
81,arc-gen,3,"(3, 3)",[1],"[{""bbox"": [0, 7, 5, 10], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 7, ""count2"": 3, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 1, 8, 4], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 3, ""count2"": 4, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 5, 9, 8], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 3, ""count2"": 1, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
82,arc-gen,2,"(3, 6)",[0],"[{""bbox"": [1, 3, 4, 9], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 5, ""count2"": 4, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [6, 5, 9, 10], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}]"
83,arc-gen,3,"(5, 3)",[0],"[{""bbox"": [1, 0, 6, 3], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 4, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 4, 6, 8], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 9, ""count2"": 3, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 3, 10, 9], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 10, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 2}]"
84,arc-gen,3,"(5, 4)",[0],"[{""bbox"": [0, 0, 5, 4], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 12, ""count2"": 4, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [0, 6, 3, 9], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 1, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 5, 9, 10], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 2}]"
85,arc-gen,3,"(3, 4)",[2],"[{""bbox"": [0, 2, 4, 5], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 4, ""count2"": 1, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 1, 9, 4], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 4, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 6, 8, 10], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 3, ""count2"": 4, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
86,arc-gen,2,"(4, 3)",[1],"[{""bbox"": [1, 1, 7, 4], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 9, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 5, 7, 8], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 4, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 1}]"
87,arc-gen,3,"(5, 3)",[1],"[{""bbox"": [0, 7, 3, 10], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 1, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 1, 6, 4], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 3, ""count2"": 4, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 6, 10, 10], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 7, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 2}]"
88,arc-gen,3,"(3, 3)",[0],"[{""bbox"": [0, 0, 3, 3], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 3, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [0, 5, 3, 10], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 7, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [4, 2, 9, 8], ""h"": 5, ""w"": 6, ""area"": 30, ""nz"": 30, ""count1"": 13, ""count2"": 1, ""count8"": 16, ""colors"": [1, 2, 8], ""rank"": 2}]"
89,arc-gen,2,"(4, 6)",[1],"[{""bbox"": [0, 3, 3, 8], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 7, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 2, 9, 8], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 8, ""count2"": 3, ""count8"": 13, ""colors"": [1, 2, 8], ""rank"": 1}]"
