idx,split,shape,bg,line_rows,line_cols,rr,cc,rr_count,cc_count,special_count,rr_delta,cc_delta
177,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,14,"5,5,5","5,5,5"
178,arc-gen,29x29,1,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,15,"5,5,5","5,5,5"
179,arc-gen,29x29,4,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,15,"5,5,5","5,5,5"
180,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","7,11,15,19",4,4,13,"4,4,4","4,4,4"
181,arc-gen,29x29,3,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","17,20,23,26",4,4,13,"3,3,3","3,3,3"
182,arc-gen,29x29,3,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","14,17,20,23",4,4,14,"3,3,3","3,3,3"
183,arc-gen,29x29,1,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,14,"5,5,5","5,5,5"
184,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","8,11,14,17",4,4,10,"3,3,3","3,3,3"
185,arc-gen,29x29,3,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,14,"5,5,5","5,5,5"
186,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,10,"4,4,4","4,4,4"
187,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,12,"5,5,5","5,5,5"
188,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","2,5,8,11",4,4,12,"3,3,3","3,3,3"
189,arc-gen,29x29,7,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","17,20,23,26","11,14,17,20",4,4,14,"3,3,3","3,3,3"
190,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,16,"5,5,5","5,5,5"
191,arc-gen,29x29,4,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,14,"5,5,5","5,5,5"
192,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,13,"5,5,5","5,5,5"
193,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,10,"4,4,4","4,4,4"
194,arc-gen,27x27,2,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,12,"4,4,4","4,4,4"
195,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","17,20,23,26","14,17,20,23",4,4,15,"3,3,3","3,3,3"
196,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,12,"5,5,5","5,5,5"
197,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","2,5,8,11",4,4,14,"3,3,3","3,3,3"
198,arc-gen,29x29,9,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","17,20,23,26",4,4,13,"3,3,3","3,3,3"
199,arc-gen,29x29,3,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,14,"5,5,5","5,5,5"
200,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,12,"5,5,5","5,5,5"
201,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,14,"5,5,5","5,5,5"
202,arc-gen,29x29,3,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","2,5,8,11",4,4,14,"3,3,3","3,3,3"
203,arc-gen,29x29,8,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,13,"5,5,5","5,5,5"
204,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,8,"5,5,5","5,5,5"
205,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","2,5,8,11",4,4,12,"3,3,3","3,3,3"
206,arc-gen,29x29,6,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","2,5,8,11",4,4,10,"3,3,3","3,3,3"
207,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,14,"5,5,5","5,5,5"
208,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","7,11,15,19",4,4,14,"4,4,4","4,4,4"
209,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,14,"4,4,4","4,4,4"
210,arc-gen,29x29,3,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","17,20,23,26",4,4,14,"3,3,3","3,3,3"
211,arc-gen,29x29,3,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","17,20,23,26",4,4,12,"3,3,3","3,3,3"
212,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,12,"5,5,5","5,5,5"
213,arc-gen,29x29,4,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,14,"5,5,5","5,5,5"
214,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,12,"5,5,5","5,5,5"
215,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","11,15,19,23",4,4,12,"4,4,4","4,4,4"
216,arc-gen,29x29,5,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,10,"5,5,5","5,5,5"
217,arc-gen,29x29,2,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","8,11,14,17",4,4,12,"3,3,3","3,3,3"
218,arc-gen,29x29,3,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,14,"5,5,5","5,5,5"
219,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","3,7,11,15",4,4,13,"4,4,4","4,4,4"
220,arc-gen,27x27,6,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","11,15,19,23",4,4,14,"4,4,4","4,4,4"
221,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,15,"5,5,5","5,5,5"
222,arc-gen,29x29,5,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,12,"5,5,5","5,5,5"
223,arc-gen,27x27,7,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","7,11,15,19",4,4,14,"4,4,4","4,4,4"
224,arc-gen,29x29,5,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,16,"5,5,5","5,5,5"
225,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","5,8,11,14",4,4,14,"3,3,3","3,3,3"
226,arc-gen,29x29,8,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,11,"5,5,5","5,5,5"
227,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,12,"5,5,5","5,5,5"
228,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","3,7,11,15",4,4,15,"4,4,4","4,4,4"
229,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,12,"4,4,4","4,4,4"
230,arc-gen,27x27,5,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","7,11,15,19",4,4,12,"4,4,4","4,4,4"
231,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","8,11,14,17",4,4,10,"3,3,3","3,3,3"
232,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","5,8,11,14",4,4,12,"3,3,3","3,3,3"
233,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","11,15,19,23",4,4,11,"4,4,4","4,4,4"
234,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","2,5,8,11",4,4,14,"3,3,3","3,3,3"
235,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,8,"5,5,5","5,5,5"
236,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","14,17,20,23",4,4,12,"3,3,3","3,3,3"
237,arc-gen,29x29,9,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","14,17,20,23",4,4,10,"3,3,3","3,3,3"
238,arc-gen,29x29,7,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","17,20,23,26","17,20,23,26",4,4,16,"3,3,3","3,3,3"
239,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","14,17,20,23",4,4,13,"3,3,3","3,3,3"
240,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","3,7,11,15",4,4,12,"4,4,4","4,4,4"
241,arc-gen,27x27,4,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,12,"4,4,4","4,4,4"
242,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","11,14,17,20",4,4,14,"3,3,3","3,3,3"
243,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","8,11,14,17",4,4,14,"3,3,3","3,3,3"
244,arc-gen,29x29,2,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,12,"5,5,5","5,5,5"
245,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","8,11,14,17",4,4,12,"3,3,3","3,3,3"
246,arc-gen,29x29,2,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","5,8,11,14",4,4,12,"3,3,3","3,3,3"
247,arc-gen,29x29,2,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,12,"5,5,5","5,5,5"
248,arc-gen,29x29,9,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","17,20,23,26","8,11,14,17",4,4,14,"3,3,3","3,3,3"
249,arc-gen,29x29,1,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,12,"5,5,5","5,5,5"
250,arc-gen,27x27,6,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,13,"4,4,4","4,4,4"
251,arc-gen,27x27,2,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","7,11,15,19",4,4,10,"4,4,4","4,4,4"
252,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","7,11,15,19",4,4,16,"4,4,4","4,4,4"
253,arc-gen,29x29,8,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,10,"5,5,5","5,5,5"
254,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,14,"5,5,5","5,5,5"
255,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,14,"5,5,5","5,5,5"
256,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","3,7,11,15",4,4,12,"4,4,4","4,4,4"
257,arc-gen,27x27,2,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,12,"4,4,4","4,4,4"
258,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","5,8,11,14",4,4,14,"3,3,3","3,3,3"
259,arc-gen,27x27,7,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,14,"4,4,4","4,4,4"
260,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","3,7,11,15",4,4,16,"4,4,4","4,4,4"
261,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,14,"4,4,4","4,4,4"
262,arc-gen,29x29,7,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","14,17,20,23",4,4,14,"3,3,3","3,3,3"
263,arc-gen,29x29,2,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","8,11,14,17",4,4,14,"3,3,3","3,3,3"
264,arc-gen,27x27,7,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","7,11,15,19",4,4,12,"4,4,4","4,4,4"
265,arc-gen,29x29,5,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,14,"5,5,5","5,5,5"
266,arc-gen,27x27,6,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","7,11,15,19",4,4,8,"4,4,4","4,4,4"
