idx,target,stats,rules_hit
128,4,"[{'color': 1, 'count': 37, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 2, 'count': 39, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 3, 'count': 32, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 4, 'count': 33, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 5, 'count': 47, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 7, 'count': 20, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 3}, {'color': 8, 'count': 24, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 4}, {'color': 9, 'count': 15, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}]","['count_rank3', 'area_rank3']"
129,3,"[{'color': 1, 'count': 20, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 2, 'count': 27, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 3}, {'color': 3, 'count': 46, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 10}, {'color': 4, 'count': 8, 'bbox_h': 8, 'bbox_w': 8, 'bbox_area': 64, 'r0': 4, 'c0': 4, 'r1': 11, 'c1': 11, 'largest_component': 2}, {'color': 5, 'count': 19, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 6, 'count': 42, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 5}, {'color': 7, 'count': 23, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 5}, {'color': 8, 'count': 35, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 9, 'count': 27, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}]","['count_max_low', 'count_max_high', 'bbox_h_max_low', 'bbox_w_max_low', 'bbox_area_max_low', 'r0_min_low', 'c0_min_low', 'r1_max_low', 'c1_max_low', 'largest_component_max_low', 'largest_component_max_high', 'count_rank0', 'area_rank0']"
130,9,"[{'color': 1, 'count': 16, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 2, 'count': 38, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 3, 'count': 47, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 12}, {'color': 4, 'count': 27, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 6, 'count': 66, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 5}, {'color': 7, 'count': 24, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 8, 'count': 15, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 9, 'count': 14, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 1}]","['count_min_low', 'count_min_high', 'bbox_h_min_low', 'bbox_h_min_high', 'bbox_w_min_low', 'bbox_w_min_high', 'bbox_area_min_low', 'bbox_area_min_high', 'r0_max_low', 'r0_max_high', 'c0_max_low', 'c0_max_high', 'r1_min_low', 'r1_min_high', 'c1_min_low', 'c1_min_high', 'largest_component_min_high']"
131,5,"[{'color': 1, 'count': 16, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 2, 'count': 15, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 1}, {'color': 3, 'count': 20, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 4, 'count': 19, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 5, 'count': 53, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 6, 'count': 19, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 12}, {'color': 7, 'count': 47, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 8, 'count': 27, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 9, 'count': 31, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}]","['count_max_low', 'count_max_high', 'count_rank0', 'area_rank3']"
132,4,"[{'color': 1, 'count': 36, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 2, 'count': 32, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 2}, {'color': 3, 'count': 32, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 4, 'count': 52, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 5, 'count': 41, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 6, 'count': 12, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 4}, {'color': 7, 'count': 24, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 4}, {'color': 8, 'count': 18, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}]","['count_max_low', 'count_max_high', 'largest_component_max_low', 'count_rank0', 'area_rank1']"
133,2,"[{'color': 1, 'count': 12, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 2, 'count': 34, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 3, 'count': 30, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 4, 'count': 35, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 23, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 7, 'count': 23, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 8, 'count': 62, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 9, 'count': 28, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}]","['bbox_h_min_high', 'bbox_w_min_high', 'bbox_area_min_high', 'r0_max_high', 'c0_max_high', 'r1_min_high', 'c1_min_high', 'count_rank2']"
134,4,"[{'color': 1, 'count': 23, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 2, 'count': 36, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 4}, {'color': 3, 'count': 23, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 4, 'count': 25, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 5, 'count': 7, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 1}, {'color': 6, 'count': 12, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 1}, {'color': 7, 'count': 40, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 8, 'count': 43, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 10}, {'color': 9, 'count': 38, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}]","['largest_component_min_low', 'count_rank4', 'area_rank1']"
135,8,"[{'color': 1, 'count': 28, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 3}, {'color': 2, 'count': 35, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 3, 'count': 16, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 4, 'count': 35, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 30, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 6, 'count': 19, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 1}, {'color': 7, 'count': 15, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 8, 'count': 45, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 6}, {'color': 9, 'count': 24, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}]","['count_max_low', 'count_max_high', 'largest_component_max_low', 'largest_component_max_high', 'count_rank0']"
136,8,"[{'color': 1, 'count': 19, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 4}, {'color': 2, 'count': 16, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 3, 'count': 20, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 4, 'count': 47, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 5, 'count': 23, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 6, 'count': 23, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 7, 'count': 31, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 8, 'count': 26, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 9, 'count': 42, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}]",['count_rank3']
137,6,"[{'color': 1, 'count': 19, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 2, 'count': 15, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 2}, {'color': 3, 'count': 23, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 4, 'count': 31, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 39, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 6, 'count': 33, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 7, 'count': 28, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 8, 'count': 27, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 9, 'count': 32, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}]","['count_rank1', 'area_rank3']"
138,8,"[{'color': 1, 'count': 24, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 2, 'count': 16, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 3, 'count': 34, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 4, 'count': 15, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 5, 'count': 51, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 6, 'count': 20, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 7, 'count': 23, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 8, 'count': 48, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 12}, {'color': 9, 'count': 16, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}]","['bbox_h_min_high', 'bbox_w_min_high', 'bbox_area_min_high', 'r0_max_high', 'c0_max_high', 'r1_min_high', 'c1_min_high', 'largest_component_max_low', 'largest_component_max_high', 'count_rank1']"
139,3,"[{'color': 1, 'count': 31, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 2, 'count': 14, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 2}, {'color': 3, 'count': 62, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 4, 'count': 27, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 27, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 3}, {'color': 7, 'count': 27, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 8, 'count': 43, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 9, 'count': 16, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 2}]","['count_max_low', 'count_max_high', 'count_rank0', 'area_rank1']"
140,9,"[{'color': 1, 'count': 43, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 2, 'count': 19, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 3, 'count': 16, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 4, 'count': 24, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 2}, {'color': 5, 'count': 35, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 6, 'count': 4, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 1}, {'color': 7, 'count': 38, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 8, 'count': 28, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 9, 'count': 40, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 16}]","['largest_component_max_low', 'largest_component_max_high', 'count_rank1']"
141,3,"[{'color': 1, 'count': 24, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 2, 'count': 20, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 4}, {'color': 3, 'count': 52, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 4, 'count': 40, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 20, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 6, 'count': 20, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 3}, {'color': 7, 'count': 39, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 8, 'count': 18, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 2}, {'color': 9, 'count': 14, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 1}]","['count_max_low', 'count_max_high', 'count_rank0', 'area_rank1']"
142,7,"[{'color': 1, 'count': 8, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 2}, {'color': 2, 'count': 23, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 3, 'count': 22, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 4, 'count': 56, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 5, 'count': 42, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 6}, {'color': 6, 'count': 20, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 3}, {'color': 7, 'count': 37, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 8, 'count': 16, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 9, 'count': 23, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 4}]","['bbox_h_max_high', 'bbox_w_max_high', 'bbox_area_max_high', 'r0_min_high', 'c0_min_high', 'r1_max_high', 'c1_max_high', 'largest_component_min_high', 'count_rank2', 'area_rank3']"
143,5,"[{'color': 1, 'count': 22, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 3, 'count': 47, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 4, 'count': 55, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 5, 'count': 41, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 6, 'count': 15, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 7, 'count': 28, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 12}, {'color': 8, 'count': 19, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 9, 'count': 20, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}]","['count_rank2', 'area_rank3']"
