example_idx,split_guess,input_shape,output_shape,input_colors,output_colors,changed_count,added_count,removed_count,changed_bbox,input_nonzero_bbox,output_nonzero_bbox,dominant_changed_from_to,component_count_input,component_count_output,rule_hints
101,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"5:8,5:8","4:9,4:9","4:9,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
102,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 8]","[0, 1, 3, 8]",3,3,0,"4:9,1:4","4:9,1:6","4:9,1:6","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
103,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"2:5,2:5","1:6,1:6","1:6,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
104,arc-gen,"(10, 10)","(10, 10)","[0, 2, 8]","[0, 2, 8]",3,3,0,"3:8,1:4","3:8,1:6","3:8,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
105,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"2:7,1:6","2:7,1:6","2:7,1:6","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
106,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"2:5,4:7","1:6,3:8","1:6,3:8","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
107,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4]","[0, 1, 3, 4]",3,3,0,"1:6,2:5","1:6,2:7","1:6,2:7","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
108,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 8]","[0, 1, 2, 8]",3,3,0,"2:5,4:9","2:7,4:9","2:7,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
109,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4, 8]","[0, 1, 3, 4, 8]",3,3,0,"3:6,4:7","2:7,3:8","2:7,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
110,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4]","[0, 3, 4]",3,3,0,"5:8,4:7","4:9,3:8","4:9,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
111,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",3,3,0,"5:8,2:5","4:9,1:6","4:9,1:6","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
112,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4]","[0, 1, 4]",3,3,0,"1:6,3:6","1:6,3:8","1:6,3:8","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
113,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"4:9,3:8","4:9,3:8","4:9,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
114,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4]","[0, 3, 4]",3,3,0,"1:6,2:7","1:6,2:7","1:6,2:7","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
115,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 8]","[0, 1, 2, 8]",3,3,0,"2:7,1:6","2:7,1:6","2:7,1:6","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
116,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4, 8]","[0, 1, 2, 4, 8]",3,3,0,"3:8,3:8","3:8,3:8","3:8,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
117,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,3,0,"3:8,3:6","3:8,3:8","3:8,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
118,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"2:7,1:4","2:7,1:6","2:7,1:6","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
119,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4]","[0, 1, 3, 4]",3,3,0,"3:6,3:8","3:8,3:8","3:8,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
120,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",3,3,0,"4:9,4:7","4:9,2:7","4:9,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
121,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 8]","[0, 1, 2, 8]",3,3,0,"3:6,2:5","2:7,1:6","2:7,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
122,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"2:7,1:6","2:7,1:6","2:7,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
123,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4]","[0, 2, 4]",3,3,0,"5:8,4:7","4:9,3:8","4:9,3:8","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
124,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3]","[0, 2, 3]",3,3,0,"4:7,1:6","4:9,1:6","4:9,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
125,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"2:5,3:8","2:7,3:8","2:7,3:8","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
126,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4]","[0, 1, 4]",3,3,0,"2:5,3:8","2:7,3:8","2:7,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
127,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 8]","[0, 1, 2, 8]",3,3,0,"4:9,1:6","4:9,1:6","4:9,1:6","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
128,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",3,3,0,"1:6,3:8","1:6,3:8","1:6,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
129,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4]","[0, 3, 4]",3,3,0,"6:9,3:8","4:9,3:8","4:9,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
130,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"3:8,4:9","3:8,4:9","3:8,4:9","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
131,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"4:9,2:5","4:9,2:7","4:9,2:7","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
132,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"1:6,1:6","1:6,1:6","1:6,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
133,arc-gen,"(10, 10)","(10, 10)","[0, 4, 8]","[0, 4, 8]",3,3,0,"5:8,5:8","4:9,4:9","4:9,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
134,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"1:6,2:7","1:6,2:7","1:6,2:7","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
135,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"6:9,2:7","4:9,2:7","4:9,2:7","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
136,arc-gen,"(10, 10)","(10, 10)","[0, 1, 8]","[0, 1, 8]",3,3,0,"3:8,4:9","3:8,4:9","3:8,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
137,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"4:9,3:8","4:9,3:8","4:9,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
138,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"3:8,1:6","3:8,1:6","3:8,1:6","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
139,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"3:8,6:9","3:8,4:9","3:8,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
140,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",3,3,0,"1:6,3:8","1:6,3:8","1:6,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
141,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"4:9,4:7","4:9,4:9","4:9,4:9","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
142,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"4:9,3:8","4:9,3:8","4:9,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
143,arc-gen,"(10, 10)","(10, 10)","[0, 2, 8]","[0, 2, 8]",3,3,0,"4:7,3:6","3:8,2:7","3:8,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
144,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",3,3,0,"4:9,4:9","4:9,4:9","4:9,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
145,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"2:7,1:6","2:7,1:6","2:7,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
146,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"1:6,4:9","1:6,4:9","1:6,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
147,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3]","[0, 2, 3]",3,3,0,"3:6,1:6","1:6,1:6","1:6,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
148,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4, 8]","[0, 1, 3, 4, 8]",3,3,0,"4:7,3:6","3:8,2:7","3:8,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
149,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 8]","[0, 1, 3, 8]",3,3,0,"5:8,4:7","4:9,3:8","4:9,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
150,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"2:7,4:9","2:7,4:9","2:7,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
151,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4]","[0, 1, 3, 4]",3,3,0,"3:6,4:7","2:7,3:8","2:7,3:8","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
152,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4]","[0, 1, 4]",3,3,0,"2:7,4:9","2:7,4:9","2:7,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
153,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"2:5,2:5","1:6,1:6","1:6,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
154,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"3:6,2:7","3:8,2:7","3:8,2:7","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
155,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"3:6,2:5","2:7,1:6","2:7,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
156,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"1:6,3:6","1:6,3:8","1:6,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
157,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3]","[0, 2, 3]",3,3,0,"1:6,6:9","1:6,4:9","1:6,4:9","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
158,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"3:8,4:9","3:8,4:9","3:8,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
159,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3]","[0, 1, 3]",3,3,0,"2:7,3:6","2:7,1:6","2:7,1:6","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
160,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,3,0,"2:7,4:9","2:7,4:9","2:7,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
161,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4, 8]","[0, 1, 3, 4, 8]",3,3,0,"3:8,5:8","3:8,3:8","3:8,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
162,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3]","[0, 1, 3]",3,3,0,"4:9,1:6","4:9,1:6","4:9,1:6","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
163,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 8]","[0, 1, 3, 8]",3,3,0,"2:5,3:6","1:6,2:7","1:6,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
164,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"4:7,2:5","3:8,1:6","3:8,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
165,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",3,3,0,"2:5,4:7","1:6,3:8","1:6,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
166,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"1:6,3:8","1:6,3:8","1:6,3:8","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
167,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"3:8,3:8","3:8,3:8","3:8,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
168,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"1:6,4:9","1:6,4:9","1:6,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
169,arc-gen,"(10, 10)","(10, 10)","[0, 4]","[0, 4]",3,3,0,"4:7,2:5","3:8,1:6","3:8,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
170,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,3,0,"3:6,4:7","2:7,3:8","2:7,3:8","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
171,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"4:7,3:6","3:8,2:7","3:8,2:7","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
172,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 8]","[0, 1, 2, 8]",3,3,0,"1:6,4:9","1:6,4:9","1:6,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
173,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"6:9,2:7","4:9,2:7","4:9,2:7","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
174,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"2:7,1:4","2:7,1:6","2:7,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
175,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"1:6,3:8","1:6,3:8","1:6,3:8","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
176,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3]","[0, 2, 3]",3,3,0,"1:4,1:6","1:6,1:6","1:6,1:6","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
177,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"2:5,2:5","1:6,1:6","1:6,1:6","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
178,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"2:5,2:5","1:6,1:6","1:6,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
179,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"3:8,3:6","3:8,1:6","3:8,1:6","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
180,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"2:7,4:9","2:7,4:9","2:7,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
181,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 8]","[0, 1, 2, 8]",3,3,0,"1:6,1:6","1:6,1:6","1:6,1:6","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
182,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4, 8]","[0, 1, 2, 4, 8]",3,3,0,"4:7,5:8","3:8,4:9","3:8,4:9","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
183,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,3,0,"1:6,1:4","1:6,1:6","1:6,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
184,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,3,0,"2:5,4:7","1:6,3:8","1:6,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
185,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"4:9,4:9","4:9,4:9","4:9,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
186,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4, 8]","[0, 1, 2, 4, 8]",3,3,0,"3:8,3:8","3:8,3:8","3:8,3:8","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
187,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"2:5,3:6","1:6,2:7","1:6,2:7","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
188,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"1:6,4:7","1:6,4:9","1:6,4:9","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
189,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"1:4,3:8","1:6,3:8","1:6,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
190,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"2:5,4:7","1:6,3:8","1:6,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
191,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4]","[0, 1, 3, 4]",3,3,0,"2:5,2:7","2:7,2:7","2:7,2:7","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
192,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"4:7,5:8","3:8,4:9","3:8,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
193,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4]","[0, 2, 4]",3,3,0,"4:7,5:8","3:8,4:9","3:8,4:9","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
194,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4]","[0, 1, 3, 4]",3,3,0,"2:7,4:7","2:7,2:7","2:7,2:7","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
195,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"3:8,2:5","3:8,2:7","3:8,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
196,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4, 8]","[0, 1, 3, 4, 8]",3,3,0,"3:6,4:7","2:7,3:8","2:7,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
197,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"1:6,3:8","1:6,3:8","1:6,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
198,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4]","[0, 1, 4]",3,3,0,"2:5,3:6","1:6,2:7","1:6,2:7","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
199,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"4:9,2:7","4:9,2:7","4:9,2:7","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
200,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3]","[0, 1, 3]",3,3,0,"4:7,1:6","4:9,1:6","4:9,1:6","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
201,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"3:6,4:7","2:7,3:8","2:7,3:8","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
202,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4]","[0, 1, 3, 4]",3,3,0,"3:8,1:4","3:8,1:6","3:8,1:6","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
