idx,template,color,features
72,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 11, 'bbox_w': 7, 'bbox_area': 77, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
73,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 4, 'bbox_area': 20, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
74,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 8, 'bbox_area': 64, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
75,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 4, 'bbox_area': 36, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
76,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 5, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
77,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 7, 'bbox_area': 63, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
78,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 6, 'bbox_area': 36, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
79,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 6, 'bbox_area': 54, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
80,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 4, 'bbox_area': 36, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
81,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 5, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
82,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 5, 'bbox_area': 50, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
83,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 7, 'bbox_area': 63, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
84,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 4, 'bbox_area': 36, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
85,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 6, 'bbox_area': 36, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
86,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 7, 'bbox_area': 70, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
87,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 4, 'bbox_area': 28, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
88,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 6, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
89,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 4, 'bbox_area': 32, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
90,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 4, 'bbox_area': 28, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
91,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 5, 'bbox_area': 35, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
92,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 6, 'bbox_area': 54, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
93,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 8, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
94,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 5, 'bbox_area': 45, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
95,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 11, 'bbox_w': 5, 'bbox_area': 55, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
96,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 8, 'bbox_area': 56, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
97,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 5, 'bbox_area': 25, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
98,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 12, 'bbox_w': 7, 'bbox_area': 84, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
99,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 7, 'bbox_area': 63, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
100,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 4, 'bbox_w': 4, 'bbox_area': 16, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
101,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 6, 'bbox_area': 54, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
102,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 4, 'bbox_area': 36, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
103,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 4, 'bbox_area': 28, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
104,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 5, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
105,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 7, 'bbox_area': 70, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
106,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 4, 'bbox_w': 7, 'bbox_area': 28, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
107,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 7, 'bbox_area': 56, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
108,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 4, 'bbox_w': 8, 'bbox_area': 32, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
109,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 5, 'bbox_area': 30, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
110,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 8, 'bbox_area': 56, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
111,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 8, 'bbox_area': 72, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
112,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 5, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
113,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 7, 'bbox_area': 56, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
114,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 8, 'bbox_area': 72, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
115,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 4, 'bbox_w': 8, 'bbox_area': 32, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
116,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 7, 'bbox_area': 42, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
117,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 7, 'bbox_area': 56, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
118,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 5, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
119,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 5, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
120,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 7, 'bbox_area': 56, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
121,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 8, 'bbox_area': 72, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
122,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 7, 'bbox_area': 63, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
123,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 7, 'bbox_area': 42, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
124,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 4, 'bbox_w': 4, 'bbox_area': 16, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
125,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 7, 'bbox_area': 49, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
126,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 6, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
127,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 11, 'bbox_w': 6, 'bbox_area': 66, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
128,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 8, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
129,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 12, 'bbox_w': 8, 'bbox_area': 96, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
130,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 8, 'bbox_area': 64, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
131,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 6, 'bbox_area': 54, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
132,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 7, 'bbox_area': 70, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
133,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 5, 'bbox_area': 35, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
134,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 4, 'bbox_area': 28, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
135,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 6, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
136,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 7, 'bbox_area': 35, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
137,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 12, 'bbox_w': 5, 'bbox_area': 60, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
138,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 8, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
139,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 5, 'bbox_area': 45, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
140,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 4, 'bbox_w': 4, 'bbox_area': 16, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
141,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 6, 'bbox_area': 42, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
142,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 4, 'bbox_area': 32, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
143,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 12, 'bbox_w': 4, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
