example_idx,split,d4_status,target_color,bbox_shape,rel_template,input_color_positions,missing_from_d4_reason
217,arc-gen,pass,8,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
218,arc-gen,pass,8,"(5, 5)","((1, 3), (3, 1), (3, 3))","((1, 1),)",ok
219,arc-gen,fail,1,"(5, 5)","((0, 0), (0, 4), (4, 4))","((0, 2), (2, 0), (2, 4), (4, 0), (4, 2))",candidate_count=0
220,arc-gen,fail,3,"(5, 5)","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 4), (2, 4), (4, 0), (4, 4))",candidate_count=0
221,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 2), (2, 4))",ok
222,arc-gen,pass,2,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
223,arc-gen,fail,4,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",candidate_count=0
224,arc-gen,fail,2,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 2), (1, 1), (2, 0), (2, 4), (4, 2))",candidate_count=0
225,arc-gen,pass,2,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
226,arc-gen,pass,2,"(5, 5)","((0, 0), (0, 4), (4, 4))","((4, 0),)",ok
227,arc-gen,pass,4,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
228,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
229,arc-gen,pass,2,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
230,arc-gen,fail,2,"(5, 5)","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 4), (2, 0), (2, 2), (4, 0), (4, 4))",candidate_count=0
231,arc-gen,fail,1,"(5, 5)","((1, 1), (1, 3), (3, 3))","((0, 0), (0, 4), (3, 1), (4, 0), (4, 4))",candidate_count=0
232,arc-gen,pass,2,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
233,arc-gen,pass,3,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
234,arc-gen,pass,8,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
235,arc-gen,pass,3,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
236,arc-gen,pass,8,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
237,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
238,arc-gen,fail,3,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4), (1, 1), (1, 3), (3, 1), (3, 3))",candidate_count=0
239,arc-gen,fail,4,"(5, 5)","((1, 1), (1, 3), (3, 3))","((0, 0), (0, 4), (3, 1), (4, 0), (4, 4))",candidate_count=0
240,arc-gen,pass,2,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
241,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
242,arc-gen,pass,2,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
243,arc-gen,pass,4,"(5, 5)","((1, 1), (1, 3), (3, 3))","((3, 1),)",ok
244,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
245,arc-gen,fail,8,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 2), (0, 4), (1, 1), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",candidate_count=0
246,arc-gen,pass,1,"(5, 5)","((1, 3), (3, 1), (3, 3))","((1, 1),)",ok
247,arc-gen,fail,4,"(5, 5)","((0, 0), (0, 4), (4, 0))","((0, 2), (2, 0), (2, 4), (4, 2), (4, 4))",candidate_count=0
248,arc-gen,pass,8,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0),)",ok
249,arc-gen,pass,8,"(5, 5)","((1, 1), (1, 3), (3, 1))","((2, 2), (3, 3))",ok
250,arc-gen,fail,4,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 2), (4, 0), (4, 4))",candidate_count=0
251,arc-gen,fail,4,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2), (1, 1), (1, 3), (3, 1), (3, 3))",candidate_count=0
252,arc-gen,fail,1,"(5, 5)","((0, 2), (2, 0), (4, 2))","((1, 1), (1, 3), (2, 4), (3, 1), (3, 3))",candidate_count=0
253,arc-gen,pass,8,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0),)",ok
254,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
255,arc-gen,pass,3,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
256,arc-gen,pass,2,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
257,arc-gen,fail,3,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))",candidate_count=0
258,arc-gen,pass,3,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
259,arc-gen,fail,8,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 2), (1, 1), (2, 0), (2, 4), (4, 2))",candidate_count=0
260,arc-gen,fail,1,"(5, 5)","((0, 0), (0, 4), (4, 0))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 2), (2, 4), (3, 1), (3, 3), (4, 2), (4, 4))",candidate_count=0
261,arc-gen,fail,1,"(5, 5)","((0, 0), (0, 4), (4, 0))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2), (4, 4))",candidate_count=0
262,arc-gen,fail,8,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (4, 0), (4, 4))",candidate_count=0
263,arc-gen,fail,1,"(5, 5)","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 4), (1, 1), (1, 3), (2, 0), (3, 1), (3, 3), (4, 0), (4, 4))",candidate_count=0
264,arc-gen,fail,3,"(5, 5)","((0, 0), (0, 4), (4, 4))","((0, 2), (2, 0), (2, 4), (4, 0), (4, 2))",candidate_count=0
265,arc-gen,pass,1,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
