rounded_missing_drop,candidate_subsets,shown_subset_count
99.01,097 192 197 137 335 224 338;097 193 324 137 335 224 338;193 197 324 137 335 213 338;193 192 324 137 224 213 131,4
99.02,193 197 324 137 224 213 338;097 192 137 335 224 213 338;097 192 197 137 335 224 131;097 193 324 137 335 224 131,4
99.03,192 197 324 137 335 224 213;097 192 137 335 224 213 131;097 192 197 137 335 338 131;097 193 324 137 335 338 131,4
99.04,097 192 324 137 335 224 338;192 197 324 137 335 213 338;097 197 137 335 224 213 338;193 197 324 137 224 213 131,4
99.05,193 192 197 137 335 224 338;193 192 137 335 224 213 338;097 192 324 137 335 224 131;192 197 324 137 335 213 131,4
99.06,192 197 324 137 224 213 338;193 192 197 137 335 224 131;097 192 324 137 335 338 131;097 197 137 335 213 338 131,4
99.07,097 197 324 137 335 224 338;192 197 324 137 224 213 131;193 192 137 335 224 213 131;193 192 197 137 335 338 131,4
99.08,193 192 324 137 335 224 338;193 197 137 335 224 213 338;097 324 137 335 224 213 338;097 197 324 137 335 224 131,4
99.09,193 192 324 137 335 224 131;193 197 137 335 224 213 131;097 324 137 335 224 213 131;097 197 324 137 335 338 131,4
99.1,193 192 324 137 335 338 131;097 193 137 335 224 338 131;193 197 137 335 213 338 131;097 324 137 335 213 338 131,4
99.11,193 197 324 137 335 224 338;192 197 137 335 224 213 338;097 197 324 137 224 338 131;097 324 137 224 213 338 131,4
99.12,193 324 137 335 224 213 338;193 197 324 137 335 224 131;192 197 137 335 224 213 131;193 192 324 137 224 338 131,4
99.13,097 193 192 197 324 335 213;193 324 137 335 224 213 131;193 197 324 137 335 338 131;192 197 137 335 213 338 131,4
99.14,097 193 192 197 324 224 213;192 197 324 137 335 224 338;193 197 324 137 224 338 131;097 192 137 335 224 338 131,4
99.15,097 193 192 197 324 213 338;192 324 137 335 224 213 338;192 197 324 137 335 224 131;192 197 137 224 213 338 131,4
99.16,097 193 192 197 324 213 131;192 324 137 335 224 213 131;192 197 324 137 335 338 131;097 197 137 335 224 338 131,4
99.17,197 324 137 335 224 213 338;193 192 137 335 224 338 131;192 324 137 335 213 338 131;097 137 335 224 213 338 131,4
99.18,197 324 137 335 224 213 131;192 197 324 137 224 338 131;097 193 192 197 324 224 138;192 324 137 335 224 338 138,4
99.19,197 324 137 335 213 338 131;192 324 137 224 213 338 131;097 193 197 324 335 213 138;097 193 192 324 224 213 138,4
99.2,097 193 192 197 335 224 213;193 197 137 335 224 338 131;097 324 137 335 224 338 131;097 193 192 324 213 338 138,4
99.21,097 193 192 197 335 213 338;197 324 137 224 213 338 131;193 137 335 224 213 338 131;097 193 197 324 224 213 138,4
99.22,097 193 192 197 324 335 224;097 193 192 197 224 213 338;097 193 192 197 335 213 131;097 193 197 324 213 338 138,4
99.23,097 193 192 324 335 224 213;097 193 192 197 324 335 338;097 193 192 197 224 213 131;192 197 137 335 224 338 131,4
99.24,097 193 192 324 335 213 338;097 193 192 197 324 335 131;193 324 137 335 224 338 131;097 193 192 197 213 338 131,4
99.25,097 193 192 197 324 224 338;097 193 192 324 335 213 131;097 192 197 324 213 338 138;097 193 192 335 213 338 138,4
99.26,097 193 197 324 335 224 213;097 193 192 324 224 213 338;097 193 192 197 324 224 131;097 193 192 197 224 338 138,4
99.27,097 193 197 324 335 213 338;097 193 192 324 224 213 131;097 193 192 197 324 338 131;192 324 137 335 224 338 131,4
99.28,097 193 197 324 335 213 131;097 193 192 324 213 338 131;193 192 197 324 224 213 138;097 193 192 324 335 338 138,4
99.29,097 192 197 324 335 224 213;097 193 197 324 224 213 338;197 324 137 335 224 338 131;097 193 197 324 335 224 138,4
99.3,097 192 197 324 335 213 338;097 193 197 324 224 213 131;324 137 335 224 213 338 131;097 192 197 335 224 213 138,4
99.31,097 193 192 197 335 224 338;097 192 197 324 335 213 131;097 193 197 324 213 338 131;097 192 197 335 213 338 138,4
99.32,097 192 197 324 224 213 338;097 193 192 335 224 213 338;097 193 192 197 335 224 131;097 193 197 324 224 338 138,4
99.33,193 192 197 324 335 224 213;097 192 197 324 224 213 131;097 193 192 335 224 213 131;097 193 192 197 335 338 131,4
99.34,097 193 192 324 335 224 338;193 192 197 324 335 213 338;097 193 197 335 224 213 338;097 193 192 197 224 338 131,4
99.35,097 193 192 324 335 224 131;193 192 197 324 335 213 131;097 193 197 335 224 213 131;097 193 192 224 213 338 131,4
99.36,193 192 197 324 224 213 338;097 193 192 324 335 338 131;097 193 197 335 213 338 131;097 197 324 335 224 213 138,4
99.37,097 193 197 324 335 224 338;097 192 197 335 224 213 338;193 192 197 324 224 213 131;193 192 197 324 335 224 138,4
99.38,097 193 324 335 224 213 338;097 193 197 324 335 224 131;097 192 197 335 224 213 131;097 193 192 324 224 338 131,4
99.39,097 193 324 335 224 213 131;097 193 197 324 335 338 131;097 192 197 335 213 338 131;193 192 197 324 224 338 138,4
99.4,097 192 197 324 335 224 338;097 193 324 335 213 338 131;193 197 324 335 224 213 138;193 192 324 224 213 338 138,4
99.41,193 192 197 335 224 213 338;097 192 324 335 224 213 338;097 192 197 324 335 224 131;097 193 197 324 224 338 131,4
99.42,193 192 197 335 224 213 131;097 192 324 335 224 213 131;097 192 197 324 335 338 131;097 192 335 224 213 338 138,4
99.43,097 197 324 335 224 213 338;193 192 197 335 213 338 131;097 192 324 335 213 338 131;192 197 324 335 224 213 138,4
99.44,193 192 197 324 335 224 338;097 197 324 335 224 213 131;097 192 197 324 224 338 131;097 193 192 335 224 338 131,4
99.45,193 192 324 335 224 213 338;193 192 197 324 335 224 131;097 197 324 335 213 338 131;193 192 197 224 213 338 131,4
99.46,193 192 324 335 224 213 131;193 192 197 324 335 338 131;097 193 197 335 224 338 131;192 197 324 224 213 338 138,4
99.47,193 197 324 335 224 213 338;193 192 324 335 213 338 131;097 197 324 224 213 338 131;097 193 335 224 213 338 131,4
99.48,193 197 324 335 224 213 131;193 192 197 324 224 338 131;193 192 324 335 224 338 138;193 197 335 224 213 338 138,4
99.49,097 192 197 335 224 338 131;193 197 324 335 213 338 131;193 192 324 224 213 338 131;193 192 324 335 224 131 138,4
99.5,097 193 324 335 224 338 131;097 192 335 224 213 338 131;193 192 324 335 338 131 138;193 197 335 213 338 131 138,4
99.51,192 197 324 335 224 213 338;193 197 324 224 213 338 131;193 197 324 335 224 338 138;192 197 335 224 213 338 138,4
99.52,192 197 324 335 224 213 131;193 324 335 224 213 338 138;193 197 324 335 224 131 138;192 197 335 224 213 131 138,4
99.53,193 192 197 335 224 338 131;097 192 324 335 224 338 131;192 197 324 335 213 338 131;097 197 335 224 213 338 131,4
99.54,192 197 324 224 213 338 131;193 192 335 224 213 338 131;192 197 324 335 224 338 138;097 192 335 224 338 131 138,4
99.55,097 197 324 335 224 338 131;192 324 335 224 213 338 138;192 197 324 335 224 131 138;193 197 324 224 338 131 138,4
99.56,097 324 335 224 213 338 131;192 324 335 224 213 131 138;192 197 324 335 338 131 138;097 197 335 224 338 131 138,4
99.57,193 192 324 335 224 338 131;193 197 335 224 213 338 131;192 324 335 213 338 131 138;097 335 224 213 338 131 138,4
99.58,197 324 335 224 213 338 138;192 197 324 224 338 131 138;193 192 335 224 338 131 138;193 192 197 335 224 338 359,4
99.59,193 197 324 335 224 338 131;197 324 335 224 213 131 138;192 324 224 213 338 131 138;192 197 324 224 213 338 359,4
99.6,192 197 335 224 213 338 131;193 324 335 224 213 338 131;193 197 335 224 338 131 138;097 324 335 224 338 131 138,4
99.61,197 324 224 213 338 131 138;193 335 224 213 338 131 138;097 197 324 335 224 338 359;192 197 324 224 213 131 359,4
99.62,193 192 324 335 224 338 359;193 197 335 224 213 338 359;097 324 335 224 213 338 359;097 197 324 335 224 131 359,4
99.63,192 197 324 335 224 338 131;192 324 335 224 213 338 131;192 197 335 224 338 131 138;193 192 324 335 224 131 359,4
99.64,193 324 335 224 338 131 138;192 335 224 213 338 131 138;193 192 324 335 338 131 359;097 197 324 224 338 131 359,4
99.65,193 197 324 335 224 338 359;192 197 335 224 213 338 359;193 324 335 224 213 338 359;097 324 224 213 338 131 359,4
99.66,197 324 335 224 213 338 131;193 197 324 335 224 131 359;192 197 335 224 213 131 359;193 324 335 224 213 131 359,4
99.67,192 324 335 224 338 131 138;197 335 224 213 338 131 138;193 197 324 335 338 131 359;097 192 335 224 338 131 359,4
99.68,192 197 324 335 224 338 359;193 197 324 224 338 131 359;197 324 213 338 131 138 359;193 335 213 338 131 138 359,4
99.69,192 324 335 224 213 338 359;192 197 324 335 224 131 359;192 197 224 213 338 131 359;193 324 224 213 338 131 359,4
99.7,197 324 335 224 338 131 138;324 335 224 213 338 131 138;192 324 335 224 213 131 359;192 197 324 335 338 131 359,4
99.71,197 324 335 224 213 338 359;192 197 324 224 338 131 359;193 192 335 224 338 131 359;192 324 335 213 338 131 359,4
99.72,197 324 335 224 213 131 359;192 324 224 213 338 131 359;192 324 335 224 338 138 359;197 335 224 213 338 138 359,4
99.73,197 324 335 213 338 131 359;192 324 335 224 131 138 359;197 335 224 213 131 138 359;193 324 224 338 131 138 359,4
99.74,193 197 335 224 338 131 359;097 324 335 224 338 131 359;192 324 335 338 131 138 359;097 335 224 338 131 138 359,4
99.75,197 324 224 213 338 131 359;193 335 224 213 338 131 359;197 324 335 224 338 138 359,3
99.76,324 335 224 213 338 138 359;197 324 335 224 131 138 359;192 324 224 338 131 138 359;197 224 213 338 131 138 359,4
99.77,192 197 335 224 338 131 359;193 324 335 224 338 131 359;324 335 224 213 131 138 359;197 324 335 338 131 138 359,4
99.78,192 335 224 213 338 131 359;197 324 224 338 131 138 359;193 335 224 338 131 138 359;324 335 213 338 131 138 359,4
99.81,192 324 335 224 338 131 359;192 335 224 338 131 138 359,2
99.84,324 335 224 213 338 131 359;197 335 224 338 131 138 359,2
111.78,097 193 192 324 137 275 243 101;097 193 192 137 275 138 243 101,2
111.81,097 192 197 137 213 275 243 101;097 193 324 137 213 275 243 101;097 193 197 137 275 138 243 101,3
111.83,097 192 197 324 137 275 243 101;097 193 192 137 335 275 243 101,2
111.84,193 192 197 137 213 275 243 101;097 192 324 137 213 275 243 101;097 192 197 137 275 138 243 101,3
111.85,097 193 192 137 224 275 243 101;097 193 324 137 275 138 243 101;097 192 137 213 275 138 243 101,3
111.86,097 193 197 137 335 275 243 101;097 193 137 335 213 275 243 101;097 193 192 137 338 275 243 101,3
111.87,193 192 197 324 137 275 243 101;097 193 197 137 224 275 243 101;097 197 324 137 213 275 243 101;097 193 192 137 131 275 243 101,4
111.88,193 192 324 137 213 275 243 101;097 193 137 224 213 275 243 101;097 193 197 137 338 275 243 101;193 192 197 137 275 138 243 101,4
111.89,097 192 197 137 335 275 243 101;097 193 324 137 335 275 243 101;097 193 137 213 338 275 243 101;097 193 197 137 131 275 243 101,4
111.9,097 192 197 137 224 275 243 101;097 192 137 335 213 275 243 101;097 193 137 213 131 275 243 101;097 197 324 137 275 138 243 101,4
111.91,097 193 324 137 224 275 243 101;193 197 324 137 213 275 243 101;097 192 137 224 213 275 243 101;097 192 197 137 338 275 243 101,4
111.92,097 192 324 137 335 275 243 101;097 197 137 335 213 275 243 101;097 193 324 137 338 275 243 101;097 192 137 213 338 275 243 101,4
111.93,193 192 197 137 335 275 243 101;097 193 324 137 131 275 243 101;097 192 137 213 131 275 243 101;097 192 137 335 275 138 243 101,4
111.94,193 192 197 137 224 275 243 101;097 192 324 137 224 275 243 101;192 197 324 137 213 275 243 101;193 192 137 335 213 275 243 101,4
111.95,097 197 324 137 335 275 243 101;193 192 137 224 213 275 243 101;193 192 197 137 338 275 243 101;097 192 324 137 338 275 243 101,4
111.96,193 192 324 137 335 275 243 101;097 193 137 335 224 275 243 101;193 197 137 335 213 275 243 101;097 324 137 335 213 275 243 101,4
111.97,097 197 324 137 224 275 243 101;097 193 137 335 338 275 243 101;193 192 137 213 131 275 243 101;192 197 324 137 275 138 243 101,4
111.98,193 192 324 137 224 275 243 101;193 197 137 224 213 275 243 101;097 324 137 224 213 275 243 101;097 197 324 137 338 275 243 101,4
111.99,193 197 324 137 335 275 243 101;192 197 137 335 213 275 243 101;193 192 324 137 338 275 243 101;097 193 137 224 338 275 243 101,4
112.0,097 192 137 335 224 275 243 101;193 324 137 335 213 275 243 101;193 192 324 137 131 275 243 101;097 193 137 224 131 275 243 101,4
112.01,097 193 192 197 137 213 275 243;193 197 324 137 224 275 243 101;192 197 137 224 213 275 243 101;193 324 137 224 213 275 243 101,4
112.02,192 197 324 137 335 275 243 101;097 197 137 335 224 275 243 101;193 197 324 137 338 275 243 101;097 192 137 224 338 275 243 101,4
112.03,192 324 137 335 213 275 243 101;097 137 335 224 213 275 243 101;097 197 137 335 338 275 243 101;193 197 324 137 131 275 243 101,4
112.04,097 193 192 197 324 137 275 243;097 193 192 197 137 213 275 101;192 197 324 137 224 275 243 101;193 192 137 335 224 275 243 101,4
112.05,097 193 192 324 137 213 275 243;097 193 192 197 137 275 138 243;097 193 192 137 213 275 138 243;197 324 137 335 213 275 243 101,4
112.06,193 197 137 335 224 275 243 101;097 324 137 335 224 275 243 101;193 192 137 224 338 275 243 101;192 324 137 213 338 275 243 101,4
112.07,097 193 197 324 137 213 275 243;097 193 192 197 324 137 275 101;197 324 137 224 213 275 243 101;193 137 335 224 213 275 243 101,4
112.08,097 193 192 324 137 275 138 243;097 193 197 137 213 275 138 243;097 193 192 324 137 213 275 101;097 193 192 197 137 275 138 101,4
112.09,097 193 192 197 137 335 275 243;192 197 137 335 224 275 243 101;193 197 137 224 338 275 243 101;197 324 137 213 131 275 243 101,4
112.1,097 192 197 324 137 213 275 243;097 193 192 137 335 213 275 243;097 193 197 324 137 213 275 101;193 324 137 335 224 275 243 101,4
112.11,097 193 192 197 137 224 275 243;097 193 197 324 137 275 138 243;097 192 197 137 213 275 138 243;097 193 192 324 137 275 138 101,4
112.12,097 193 192 137 224 213 275 243;097 193 192 197 137 338 275 243;097 193 324 137 213 275 138 243;097 193 192 197 137 335 275 101,4
112.13,097 193 192 324 137 335 275 243;097 193 197 137 335 213 275 243;097 193 192 137 213 338 275 243;097 193 192 197 137 131 275 243,4
112.14,193 192 197 324 137 213 275 243;097 193 197 137 224 213 275 243;097 193 192 137 213 131 275 243;097 192 197 324 137 275 138 243,4
112.15,097 193 197 324 137 335 275 243;097 193 192 324 137 224 275 243;097 193 197 137 213 338 275 243;097 193 192 137 224 275 138 243,4
112.16,097 192 197 137 335 213 275 243;097 193 324 137 335 213 275 243;097 193 192 324 137 338 275 243;097 193 197 137 213 131 275 243,4
112.17,097 193 197 324 137 224 275 243;097 193 192 324 137 131 275 243;097 197 324 137 213 275 138 243;097 193 137 335 213 275 138 243,4
112.18,097 192 197 137 224 213 275 243;097 193 324 137 224 213 275 243;097 193 197 324 137 338 275 243;193 192 197 324 137 275 138 243,4
112.19,097 192 197 324 137 335 275 243;097 192 197 137 213 338 275 243;097 193 324 137 213 338 275 243;097 193 197 324 137 131 275 243,4
112.2,097 192 197 324 137 224 275 243;097 193 192 137 335 224 275 243;193 192 197 137 335 213 275 243;097 192 324 137 335 213 275 243,4
112.21,097 192 324 137 224 213 275 243;097 192 197 324 137 338 275 243;097 193 192 137 335 338 275 243;097 192 197 137 224 275 138 243,4
112.22,097 197 324 137 335 213 275 243;193 192 197 137 224 213 275 243;097 192 324 137 213 338 275 243;097 192 197 324 137 131 275 243,4
112.23,193 192 197 324 137 335 275 243;097 193 197 137 335 224 275 243;193 192 324 137 335 213 275 243;097 193 192 137 224 338 275 243,4
112.24,193 192 197 324 137 224 275 243;097 197 324 137 224 213 275 243;097 193 137 335 224 213 275 243;097 193 197 137 335 338 275 243,4
112.25,193 192 324 137 224 213 275 243;193 192 197 324 137 338 275 243;097 193 197 137 224 338 275 243;097 197 324 137 213 338 275 243,4
112.26,097 192 197 137 335 224 275 243;097 193 324 137 335 224 275 243;193 197 324 137 335 213 275 243;193 192 324 137 213 338 275 243,4
112.27,097 192 137 335 224 213 275 243;097 192 197 137 335 338 275 243;097 193 324 137 335 338 275 243;193 192 324 137 213 131 275 243,4
112.28,193 197 324 137 224 213 275 243;097 192 137 335 213 338 275 243;097 192 197 137 335 131 275 243;097 193 324 137 335 131 275 243,4
112.29,192 197 324 137 335 213 275 243;097 197 137 335 224 213 275 243;097 192 197 137 224 338 275 243;097 193 324 137 224 338 275 243,4
112.3,193 192 197 137 335 224 275 243;097 192 324 137 335 224 275 243;097 192 324 137 335 338 275 243;097 197 137 335 213 338 275 243,4
112.31,192 197 324 137 224 213 275 243;193 192 137 335 224 213 275 243;193 192 197 137 335 338 275 243;097 197 137 335 213 131 275 243,4
112.32,097 197 324 137 335 224 275 243;193 192 197 137 224 338 275 243;097 192 324 137 224 338 275 243;192 197 324 137 213 338 275 243,4
112.33,193 192 324 137 335 224 275 243;193 197 137 335 224 213 275 243;097 324 137 335 224 213 275 243;097 197 324 137 335 338 275 243,4
112.34,097 193 192 197 324 137 213 275;193 192 324 137 335 338 275 243;193 197 137 335 213 338 275 243;097 324 137 335 213 338 275 243,4
112.35,097 193 192 197 137 213 275 138;097 197 324 137 224 338 275 243;097 193 137 335 224 338 275 243;193 192 324 137 335 131 275 243,4
112.36,193 197 324 137 335 224 275 243;192 197 137 335 224 213 275 243;193 192 324 137 224 338 275 243;193 197 137 224 213 338 275 243,4
112.37,097 193 192 197 324 137 275 138;193 324 137 335 224 213 275 243;193 197 324 137 335 338 275 243;192 197 137 335 213 338 275 243,4
112.38,097 193 192 324 137 213 275 138;097 192 137 335 224 338 275 243;193 324 137 335 213 338 275 243;193 197 324 137 335 131 275 243,4
112.39,097 193 192 197 137 335 213 275;192 197 324 137 335 224 275 243;193 197 324 137 224 338 275 243;192 197 137 224 213 338 275 243,4
112.4,097 193 192 197 324 213 275 243;192 324 137 335 224 213 275 243;192 197 324 137 335 338 275 243;097 197 137 335 224 338 275 243,4
112.41,097 193 192 197 137 224 213 275;097 193 197 324 137 213 275 138;192 324 137 335 213 338 275 243;097 137 335 224 213 338 275 243,4
112.42,097 193 192 197 324 137 335 275;097 193 192 197 137 213 338 275;192 197 324 137 224 338 275 243;193 192 137 335 224 338 275 243,4
112.43,097 193 192 324 137 335 213 275;097 193 192 197 137 213 131 275;097 193 192 197 137 335 275 138;197 324 137 335 224 213 275 243,4
112.44,097 193 192 197 324 137 224 275;097 192 197 324 137 213 275 138;097 193 192 137 335 213 275 138;193 197 137 335 224 338 275 243,4
112.45,097 193 192 324 137 224 213 275;097 193 192 197 324 137 338 275;097 193 192 197 137 224 275 138;197 324 137 224 213 338 275 243,4
112.46,097 193 197 324 137 335 213 275;097 193 192 324 137 213 338 275;097 193 192 197 324 137 131 275;097 193 197 137 335 213 275 138,4
112.47,097 193 197 324 137 224 213 275;097 193 192 324 137 213 131 275;097 193 192 324 137 335 275 138;097 193 192 137 213 338 275 138,4
112.48,097 193 197 324 137 213 338 275;097 193 192 324 137 224 275 138;193 192 197 324 137 213 275 138;097 193 197 137 224 213 275 138,4
112.49,097 193 192 197 137 335 224 275;097 192 197 324 137 335 213 275;097 193 197 324 137 213 131 275;097 193 197 324 137 335 275 138,4
112.5,097 192 197 324 137 224 213 275;097 193 192 137 335 224 213 275;097 193 192 197 137 335 338 275;097 192 197 137 335 213 275 138,4
112.51,097 192 197 324 137 213 338 275;097 193 192 137 335 213 338 275;097 193 192 197 137 335 131 275;097 193 197 324 137 224 275 138,4
112.52,097 193 192 197 137 224 338 275;097 192 197 324 137 213 131 275;097 193 192 137 335 213 131 275;097 192 197 324 137 335 275 138,4
112.53,097 193 192 324 137 335 224 275;193 192 197 324 137 335 213 275;097 193 197 137 335 224 213 275;097 193 192 137 224 213 338 275,4
112.54,193 192 197 324 137 224 213 275;097 193 192 324 137 335 338 275;097 193 197 137 335 213 338 275;097 193 192 137 224 213 131 275,4
112.55,193 192 197 324 137 213 338 275;097 193 197 137 224 213 338 275;097 193 192 324 137 335 131 275;097 193 197 137 335 213 131 275,4
112.56,097 193 197 324 137 335 224 275;097 192 197 137 335 224 213 275;097 193 324 137 335 224 213 275;097 193 197 324 137 335 338 275,4
112.57,097 192 197 137 335 213 338 275;097 193 324 137 335 213 338 275;097 193 192 324 137 224 131 275;097 193 197 137 224 213 131 275,4
112.58,097 193 197 324 137 224 338 275;097 193 197 324 137 335 131 275;097 192 197 137 335 213 131 275;097 193 324 137 335 213 131 275,4
112.59,097 192 197 324 137 335 224 275;097 192 197 137 224 213 338 275;097 193 324 137 224 213 338 275;097 193 197 324 137 224 131 275,4
112.6,193 192 197 137 335 224 213 275;097 192 324 137 335 224 213 275;097 192 197 324 137 335 338 275;097 192 197 137 224 213 131 275,4
112.61,097 192 197 324 137 224 338 275;097 193 192 137 335 224 338 275;193 192 197 137 335 213 338 275;097 192 324 137 335 213 338 275,4
112.62,097 197 324 137 335 224 213 275;097 192 324 137 224 213 338 275;097 192 197 324 137 224 131 275;097 193 192 137 335 224 131 275,4
112.63,193 192 197 324 137 335 224 275;097 197 324 137 335 213 338 275;193 192 197 137 224 213 338 275;097 192 324 137 224 213 131 275,4
112.64,193 192 324 137 335 224 213 275;193 192 197 324 137 335 338 275;097 193 197 137 335 224 338 275;097 197 324 137 335 213 131 275,4
112.65,193 192 197 324 137 224 338 275;193 192 324 137 335 213 338 275;097 197 324 137 224 213 338 275;097 193 137 335 224 213 338 275,4
112.66,193 197 324 137 335 224 213 275;193 192 324 137 224 213 338 275;193 192 197 324 137 224 131 275;193 192 324 137 335 213 131 275,4
112.67,097 192 197 137 335 224 338 275;097 193 324 137 335 224 338 275;193 197 324 137 335 213 338 275;193 192 324 137 224 213 131 275,4
112.68,097 192 137 335 224 213 338 275;097 192 197 137 335 224 131 275;097 193 324 137 335 224 131 275;193 197 324 137 335 213 131 275,4
112.69,192 197 324 137 335 224 213 275;193 197 324 137 224 213 338 275;097 192 137 335 224 213 131 275;097 192 197 137 335 338 131 275,4
112.7,192 197 324 137 335 213 338 275;097 197 137 335 224 213 338 275;193 197 324 137 224 213 131 275;097 192 137 335 213 338 131 275,4
112.71,193 192 197 137 335 224 338 275;097 192 324 137 335 224 338 275;192 197 324 137 335 213 131 275;097 197 137 335 224 213 131 275,4
112.72,192 197 324 137 224 213 338 275;193 192 137 335 224 213 338 275;193 192 197 137 335 224 131 275;097 192 324 137 335 224 131 275,4
112.73,097 197 324 137 335 224 338 275;192 197 324 137 224 213 131 275;193 192 137 335 224 213 131 275;193 192 197 137 335 338 131 275,4
112.74,193 197 137 335 224 213 338 275;097 324 137 335 224 213 338 275;097 197 324 137 335 224 131 275;097 192 324 137 224 338 131 275,4
112.75,193 192 324 137 335 224 338 275;193 197 137 335 224 213 131 275;097 324 137 335 224 213 131 275;097 197 324 137 335 338 131 275,4
112.76,193 192 324 137 335 224 131 275;193 197 137 335 213 338 131 275;097 324 137 335 213 338 131 275;193 192 137 224 213 338 131 275,4
112.77,193 197 324 137 335 224 338 275;192 197 137 335 224 213 338 275;193 192 324 137 335 338 131 275;097 197 324 137 224 338 131 275,4
112.78,193 324 137 335 224 213 338 275;193 197 324 137 335 224 131 275;193 192 324 137 224 338 131 275;193 197 137 224 213 338 131 275,4
112.79,097 193 192 197 324 335 213 275;192 197 137 335 224 213 131 275;193 324 137 335 224 213 131 275;193 197 324 137 335 338 131 275,4
112.8,192 197 324 137 335 224 338 275;097 192 137 335 224 338 131 275;193 324 137 335 213 338 131 275;097 193 192 197 335 213 275 138,4
112.81,097 193 192 197 324 224 213 275;097 193 192 197 324 213 338 275;192 324 137 335 224 213 338 275;192 197 324 137 335 224 131 275,4
112.82,192 324 137 335 224 213 131 275;192 197 324 137 335 338 131 275;097 197 137 335 224 338 131 275;193 324 137 224 213 338 131 275,4
112.83,097 193 192 197 324 213 131 275;192 324 137 335 213 338 131 275;097 137 335 224 213 338 131 275;097 193 192 324 335 213 275 138,4
112.84,197 324 137 335 224 213 338 275;192 197 324 137 224 338 131 275;193 192 137 335 224 338 131 275;097 193 192 197 324 224 275 138,4
112.85,197 324 137 335 224 213 131 275;192 324 137 224 213 338 131 275;097 193 192 324 224 213 275 138;097 193 192 197 324 338 275 138,4
112.86,097 193 192 197 335 224 213 275;193 197 137 335 224 338 131 275;097 324 137 335 224 338 131 275;197 324 137 335 213 338 131 275,4
112.87,097 193 192 197 335 213 338 275;197 324 137 224 213 338 131 275;193 137 335 224 213 338 131 275;097 193 197 324 224 213 275 138,4
112.88,097 193 192 197 335 213 131 275;097 193 197 324 213 338 275 138;324 137 335 224 213 338 275 138;197 324 137 335 224 131 275 138,4
112.89,097 193 192 197 324 335 224 275;097 193 192 197 224 213 338 275;192 197 137 335 224 338 131 275;097 193 192 197 324 137 213 138,4
112.9,097 193 192 324 335 224 213 275;097 193 192 197 324 335 338 275;097 193 192 197 224 213 131 275;193 324 137 335 224 338 131 275,4
112.91,097 193 192 197 324 224 338 275;097 193 192 324 335 213 338 275;097 193 192 197 324 335 131 275;097 193 192 197 213 338 131 275,4
112.92,097 193 197 324 335 224 213 275;097 193 192 324 224 213 338 275;097 193 192 324 335 213 131 275;097 193 192 197 224 338 275 138,4
112.93,097 193 192 197 324 137 335 213;097 193 197 324 335 213 338 275;097 193 192 197 324 224 131 275;097 193 192 324 224 213 131 275,4
112.94,097 193 197 324 335 213 131 275;097 193 192 324 213 338 131 275;097 193 192 197 137 335 213 138;097 193 192 324 335 338 275 138,4
112.95,097 193 192 197 324 137 224 213;097 192 197 324 335 224 213 275;097 193 197 324 224 213 338 275;193 192 197 324 224 213 275 138,4
112.96,097 193 192 197 324 137 213 338;097 192 197 324 335 213 338 275;097 193 197 324 224 213 131 275;197 324 137 335 224 338 131 275,4
112.97,097 193 192 197 324 137 213 131;097 193 192 197 335 224 338 275;097 192 197 324 335 213 131 275;097 193 197 324 213 338 131 275,4
112.98,097 192 197 324 224 213 338 275;097 193 192 335 224 213 338 275;097 193 192 197 335 224 131 275;097 193 192 324 137 335 213 138,4
112.99,193 192 197 324 335 224 213 275;097 192 197 324 224 213 131 275;097 193 192 335 224 213 131 275;097 193 192 197 335 338 131 275,4
113.0,193 192 197 324 335 213 338 275;097 193 197 335 224 213 338 275;097 192 197 324 213 338 131 275;097 193 192 335 213 338 131 275,4
113.01,097 193 192 197 137 335 224 213;097 193 192 324 335 224 338 275;193 192 197 324 335 213 131 275;097 193 197 335 224 213 131 275,4
113.02,097 193 192 197 137 335 213 338;193 192 197 324 224 213 338 275;097 193 192 324 335 224 131 275;097 193 197 335 213 338 131 275,4
113.03,097 193 192 197 324 137 335 224;097 193 192 197 137 224 213 338;097 193 192 197 137 335 213 131;097 193 197 324 335 224 338 275,4
113.04,097 193 192 324 137 335 224 213;097 193 192 197 324 137 335 338;097 193 192 197 137 224 213 131;097 192 197 335 224 213 338 275,4
113.05,097 193 192 324 137 335 213 338;097 193 192 197 324 137 335 131;097 193 192 197 137 213 338 131;097 192 197 335 224 213 131 275,4
113.06,097 193 192 197 324 137 224 338;097 193 192 324 137 335 213 131;097 192 197 324 335 224 338 275;097 192 197 335 213 338 131 275,4
113.07,097 193 197 324 137 335 224 213;097 193 192 324 137 224 213 338;097 193 192 197 324 137 224 131;097 192 324 335 224 213 338 275,4
113.08,097 193 197 324 137 335 213 338;097 193 192 324 137 224 213 131;097 193 192 197 324 137 338 131;193 192 197 335 224 213 338 275,4
113.09,097 193 197 324 137 224 213 338;097 193 197 324 137 335 213 131;097 193 192 324 137 213 338 131;193 192 197 335 224 213 131 275,4
113.1,097 192 197 324 137 335 224 213;193 192 197 324 335 224 338 275;097 197 324 335 224 213 338 275;097 192 197 324 224 338 131 275,4
113.11,097 192 197 324 137 335 213 338;097 193 197 324 137 224 213 131;193 192 324 335 224 213 338 275;193 192 197 324 335 224 131 275,4
