idx,shape,expected,rank0,rank1,rank0_count,rank1_count,expected_rank,r0_bbox_area,r1_bbox_area,d_bbox_area,r0_bbox_h,r1_bbox_h,d_bbox_h,r0_bbox_w,r1_bbox_w,d_bbox_w,r0_component_count,r1_component_count,d_component_count,r0_corner_count,r1_corner_count,d_corner_count,r0_count,r1_count,d_count,r0_density_den,r1_density_den,d_density_den,r0_density_num,r1_density_num,d_density_num,r0_edge_touches,r1_edge_touches,d_edge_touches,r0_largest_component,r1_largest_component,d_largest_component,r0_touch_bottom,r1_touch_bottom,d_touch_bottom,r0_touch_left,r1_touch_left,d_touch_left,r0_touch_right,r1_touch_right,d_touch_right,r0_touch_top,r1_touch_top,d_touch_top
125,5x11,7,7,6,5,11,0,50,27,-23,5,3,-2,10,9,-1,5,4,-1,0,0,0,5,11,6,50,27,-23,5,11,6,3,0,-3,1,8,7,1,0,-1,0,0,0,1,0,-1,1,0,-1
126,10x7,8,8,5,8,14,0,60,54,-6,10,9,-1,6,6,0,8,6,-2,1,1,0,8,14,6,60,54,-6,8,14,6,3,2,-1,1,9,8,1,0,-1,0,1,1,1,0,-1,1,1,0
127,10x7,7,7,6,7,13,0,48,56,8,8,8,0,6,7,1,6,5,-1,0,1,1,7,13,6,48,56,8,7,13,6,2,3,1,2,9,7,1,0,-1,0,1,1,1,1,0,0,1,1
128,6x11,9,9,5,8,13,0,66,48,-18,6,6,0,11,8,-3,8,5,-3,1,0,-1,8,13,5,66,48,-18,8,13,5,4,2,-2,1,9,8,1,1,0,1,0,-1,1,0,-1,1,1,0
129,9x5,9,9,3,4,15,0,18,45,27,6,9,3,3,5,2,3,5,2,1,1,0,4,15,11,18,45,27,4,15,11,2,4,2,2,8,6,0,1,1,1,1,0,0,1,1,1,1,0
130,10x11,6,6,1,8,16,0,99,88,-11,9,8,-1,11,11,0,8,8,0,0,0,0,8,16,8,99,88,-11,8,16,8,3,3,0,1,9,8,0,1,1,1,1,0,1,1,0,1,0,-1
131,12x9,2,2,4,12,21,0,80,108,28,10,12,2,8,9,1,9,9,0,0,1,1,12,21,9,80,108,28,12,21,9,2,4,2,3,11,8,1,1,0,0,1,1,1,1,0,0,1,1
132,8x12,5,5,3,7,14,0,56,55,-1,7,5,-2,8,11,3,6,6,0,0,0,0,7,14,7,56,55,-1,7,14,7,1,1,0,2,8,6,0,0,0,0,1,1,0,0,0,1,0,-1
133,5x6,4,4,9,2,10,0,6,12,6,2,3,1,3,4,1,2,1,-1,0,0,0,2,10,8,6,12,6,2,10,8,0,0,0,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0
134,12x12,3,3,1,15,23,0,144,144,0,12,12,0,12,12,0,13,12,-1,1,0,-1,15,23,8,144,144,0,15,23,8,4,4,0,2,10,8,1,1,0,1,1,0,1,1,0,1,1,0
135,8x5,7,7,4,5,10,0,20,21,1,4,7,3,5,3,-2,5,2,-3,0,0,0,5,10,5,20,21,1,5,10,5,2,1,-1,1,9,8,0,0,0,1,0,-1,1,0,-1,0,1,1
136,8x11,7,7,2,13,14,0,72,70,-2,8,7,-1,9,10,1,9,5,-4,0,1,1,13,14,1,72,70,-2,13,14,1,2,2,0,2,9,7,1,1,0,0,0,0,0,1,1,1,0,-1
137,11x10,5,5,2,11,14,0,88,72,-16,11,9,-2,8,8,0,11,7,-4,0,0,0,11,14,3,88,72,-16,11,14,3,3,0,-3,1,8,7,1,0,-1,1,0,-1,0,0,0,1,0,-1
138,9x12,6,6,8,10,19,0,108,108,0,9,9,0,12,12,0,9,9,0,1,0,-1,10,19,9,108,108,0,10,19,9,4,4,0,2,11,9,1,1,0,1,1,0,1,1,0,1,1,0
139,5x10,5,5,3,3,15,0,16,50,34,2,5,3,8,10,2,3,3,0,0,1,1,3,15,12,16,50,34,3,15,12,1,4,3,1,12,11,0,1,1,0,1,1,1,1,0,0,1,1
140,11x9,8,8,9,9,17,0,90,81,-9,10,9,-1,9,9,0,9,9,0,0,1,1,9,17,8,90,81,-9,9,17,8,3,3,0,1,8,7,1,1,0,1,1,0,1,1,0,0,0,0
141,9x6,9,9,7,4,10,0,27,21,-6,9,7,-2,3,3,0,4,2,-2,0,0,0,4,10,6,27,21,-6,4,10,6,2,0,-2,1,9,8,1,0,-1,0,0,0,0,0,0,1,0,-1
142,11x11,5,5,4,8,17,0,72,110,38,9,11,2,8,10,2,6,9,3,0,0,0,8,17,9,72,110,38,8,17,9,1,3,2,2,9,7,0,1,1,1,0,-1,0,1,1,0,1,1
143,9x12,7,7,3,9,17,0,99,96,-3,9,8,-1,11,12,1,9,6,-3,1,1,0,9,17,8,99,96,-3,9,17,8,3,3,0,1,11,10,1,1,0,1,1,0,0,1,1,1,0,-1
144,7x9,4,4,1,5,12,0,48,35,-13,6,5,-1,8,7,-1,5,3,-2,0,1,1,5,12,7,48,35,-13,5,12,7,2,2,0,1,10,9,0,0,0,1,0,-1,0,1,1,1,1,0
145,12x12,9,9,3,11,25,0,121,144,23,11,12,1,11,12,1,9,13,4,1,0,-1,11,25,14,121,144,23,11,25,14,2,4,2,2,9,7,1,1,0,0,1,1,1,1,0,0,1,1
146,6x7,3,3,6,4,10,0,30,24,-6,5,6,1,6,4,-2,4,3,-1,0,1,1,4,10,6,30,24,-6,4,10,6,2,3,1,1,8,7,1,1,0,1,1,0,0,0,0,0,1,1
147,11x6,9,9,1,7,12,0,35,20,-15,7,5,-2,5,4,-1,6,2,-4,1,0,-1,7,12,5,35,20,-15,7,12,5,2,0,-2,2,11,9,0,0,0,0,0,0,1,0,-1,1,0,-1
148,6x6,5,5,2,2,10,0,4,20,16,4,4,0,1,5,4,2,2,0,0,0,0,2,10,8,4,20,16,2,10,8,1,2,1,1,9,8,1,0,-1,0,1,1,0,0,0,0,1,1
149,7x10,3,3,4,8,13,0,63,30,-33,7,3,-4,9,10,1,8,4,-4,1,0,-1,8,13,5,63,30,-33,8,13,5,3,2,-1,1,10,9,1,0,-1,1,1,0,0,1,1,1,0,-1
150,9x11,2,2,8,12,19,0,88,90,2,8,9,1,11,10,-1,10,6,-4,1,0,-1,12,19,7,88,90,2,12,19,7,3,3,0,2,10,8,1,1,0,1,1,0,1,0,-1,0,1,1
151,11x8,7,7,5,8,16,0,80,77,-3,10,11,1,8,7,-1,6,6,0,0,1,1,8,16,8,80,77,-3,8,16,8,3,3,0,2,11,9,0,1,1,1,1,0,1,0,-1,1,1,0
152,9x7,1,1,7,7,11,0,48,30,-18,8,6,-2,6,5,-1,6,3,-3,0,0,0,7,11,4,48,30,-18,7,11,4,2,1,-1,2,9,7,0,0,0,0,0,0,1,1,0,1,0,-1
153,11x8,8,8,9,8,18,0,66,56,-10,11,8,-3,6,7,1,7,5,-2,0,0,0,8,18,10,66,56,-10,8,18,10,3,1,-2,2,13,11,1,0,-1,1,0,-1,0,1,1,1,0,-1
154,5x5,4,4,8,4,10,0,12,16,4,4,4,0,3,4,1,3,2,-1,1,1,0,4,10,6,12,16,4,4,10,6,2,2,0,2,9,7,1,1,0,0,1,1,1,0,-1,0,0,0
155,7x10,7,7,5,6,15,0,49,50,1,7,5,-2,7,10,3,6,4,-2,0,0,0,6,15,9,49,50,1,6,15,9,2,3,1,1,12,11,1,0,-1,0,1,1,0,1,1,1,1,0
156,6x7,2,2,6,2,15,0,9,35,26,3,5,2,3,7,4,2,4,2,0,0,0,2,15,13,9,35,26,2,15,13,0,3,3,1,11,10,0,0,0,0,1,1,0,1,1,0,1,1
157,9x5,7,7,4,6,11,0,24,32,8,8,8,0,3,4,1,5,4,-1,0,1,1,6,11,5,24,32,8,6,11,5,2,2,0,2,8,6,0,0,0,0,1,1,1,0,-1,1,1,0
158,12x5,8,8,7,9,10,0,55,27,-28,11,9,-2,5,3,-2,6,3,-3,0,0,0,9,10,1,55,27,-28,9,10,1,3,0,-3,4,8,4,1,0,-1,1,0,-1,1,0,-1,0,0,0
159,12x10,6,6,5,14,19,0,99,108,9,11,12,1,9,9,0,12,11,-1,0,1,1,14,19,5,99,108,9,14,19,5,2,3,1,2,8,6,1,1,0,0,0,0,1,1,0,0,1,1
160,5x7,7,7,8,4,9,0,20,18,-2,4,3,-1,5,6,1,4,2,-2,0,0,0,4,9,5,20,18,-2,4,9,5,2,1,-1,1,8,7,0,0,0,0,1,1,1,0,-1,1,0,-1
161,12x7,1,1,2,11,19,0,60,84,24,10,12,2,6,7,1,9,8,-1,0,0,0,11,19,8,60,84,24,11,19,8,2,4,2,2,10,8,1,1,0,0,1,1,1,1,0,0,1,1
162,10x9,8,8,7,7,13,0,81,64,-17,9,8,-1,9,8,-1,7,6,-1,1,0,-1,7,13,6,81,64,-17,7,13,6,3,1,-2,1,8,7,0,0,0,1,1,0,1,0,-1,1,0,-1
163,6x12,4,4,1,7,16,0,54,55,1,6,5,-1,9,11,2,6,6,0,0,1,1,7,16,9,54,55,1,7,16,9,2,2,0,2,10,8,1,1,0,0,0,0,0,1,1,1,0,-1
164,8x5,2,2,8,3,11,0,35,35,0,7,7,0,5,5,0,3,4,1,1,0,-1,3,11,8,35,35,0,3,11,8,3,3,0,1,8,7,0,1,1,1,1,0,1,1,0,1,0,-1
165,6x9,2,2,7,3,13,0,15,54,39,3,6,3,5,9,4,3,5,2,0,2,2,3,13,10,15,54,39,3,13,10,0,4,4,1,8,7,0,1,1,0,1,1,0,1,1,0,1,1
166,9x6,4,4,7,7,12,0,28,40,12,7,8,1,4,5,1,6,4,-2,0,0,0,7,12,5,28,40,12,7,12,5,1,2,1,2,9,7,0,1,1,0,1,1,1,0,-1,0,0,0
167,10x6,2,2,3,10,10,0,48,12,-36,8,4,-4,6,3,-3,8,1,-7,1,0,-1,10,10,0,48,12,-36,10,10,0,3,1,-2,2,10,8,1,0,-1,1,0,-1,1,0,-1,0,1,1
168,10x9,4,4,2,7,15,0,70,70,0,10,10,0,7,7,0,7,8,1,1,0,-1,7,15,8,70,70,0,7,15,8,3,3,0,1,8,7,1,1,0,0,1,1,1,0,-1,1,1,0
169,12x6,4,4,5,9,16,0,55,55,0,11,11,0,5,5,0,7,7,0,0,1,1,9,16,7,55,55,0,9,16,7,2,2,0,3,10,7,1,0,-1,0,0,0,1,1,0,0,1,1
170,5x10,4,4,1,6,10,0,35,24,-11,5,3,-2,7,8,1,6,2,-4,0,0,0,6,10,4,35,24,-11,6,10,4,3,0,-3,1,9,8,1,0,-1,0,0,0,1,0,-1,1,0,-1
171,10x7,4,4,6,7,17,0,60,42,-18,10,7,-3,6,6,0,7,5,-2,1,0,-1,7,17,10,60,42,-18,7,17,10,3,1,-2,1,10,9,1,0,-1,1,1,0,0,0,0,1,0,-1
172,8x10,1,1,8,10,17,0,70,72,2,7,8,1,10,9,-1,7,9,2,1,0,-1,10,17,7,70,72,2,10,17,7,3,3,0,2,8,6,1,1,0,1,0,-1,1,1,0,0,1,1
173,11x6,5,5,3,8,15,0,50,54,4,10,9,-1,5,6,1,7,5,-2,0,0,0,8,15,7,50,54,4,8,15,7,2,3,1,2,11,9,1,0,-1,0,1,1,1,1,0,0,1,1
174,7x11,5,5,1,11,16,0,60,54,-6,6,6,0,10,9,-1,9,7,-2,0,1,1,11,16,5,60,54,-6,11,16,5,2,2,0,2,8,6,1,0,-1,1,1,0,0,0,0,0,1,1
175,6x8,7,7,3,5,10,0,28,16,-12,4,4,0,7,4,-3,4,1,-3,0,0,0,5,10,5,28,16,-12,5,10,5,1,2,1,2,10,8,0,1,1,1,1,0,0,0,0,0,0,0
176,10x6,1,1,3,9,12,0,60,40,-20,10,8,-2,6,5,-1,7,5,-2,1,0,-1,9,12,3,60,40,-20,9,12,3,4,2,-2,3,8,5,1,0,-1,1,1,0,1,0,-1,1,1,0
177,5x6,6,6,9,3,9,0,12,12,0,2,4,2,6,3,-3,3,1,-2,0,0,0,3,9,6,12,12,0,3,9,6,2,1,-1,1,9,8,0,1,1,1,0,-1,1,0,-1,0,0,0
178,6x5,1,1,3,2,9,0,6,15,9,2,5,3,3,3,0,2,2,0,0,0,0,2,9,7,6,15,9,2,9,7,1,1,0,1,8,7,0,1,1,0,0,0,1,0,-1,0,0,0
179,6x6,4,4,6,6,13,0,20,30,10,5,6,1,4,5,1,3,3,0,1,0,-1,6,13,7,20,30,10,6,13,7,2,3,1,4,11,7,0,1,1,1,1,0,0,0,0,1,1,0
180,6x10,7,7,8,7,11,0,48,30,-18,6,5,-1,8,6,-2,6,3,-3,1,0,-1,7,11,4,48,30,-18,7,11,4,3,1,-2,2,8,6,1,0,-1,0,0,0,1,0,-1,1,1,0
181,11x7,3,3,9,3,11,0,6,36,30,3,6,3,2,6,4,2,4,2,0,0,0,3,11,8,6,36,30,3,11,8,0,2,2,2,8,6,0,0,0,0,1,1,0,0,0,0,1,1
182,6x5,9,9,3,3,10,0,18,16,-2,6,4,-2,3,4,1,3,1,-2,1,0,-1,3,10,7,18,16,-2,3,10,7,3,2,-1,1,10,9,1,0,-1,0,1,1,1,0,-1,1,1,0
183,11x9,1,1,9,8,17,0,63,70,7,9,10,1,7,7,0,8,6,-2,0,0,0,8,17,9,63,70,7,8,17,9,2,1,-1,1,11,10,1,0,-1,0,0,0,1,0,-1,0,1,1
184,6x5,5,5,4,5,9,0,25,12,-13,5,4,-1,5,3,-2,5,1,-4,1,0,-1,5,9,4,25,12,-13,5,9,4,3,1,-2,1,9,8,1,0,-1,1,0,-1,1,0,-1,0,1,1
185,10x6,3,3,8,4,17,0,28,60,32,7,10,3,4,6,2,4,5,1,0,2,2,4,17,13,28,60,32,4,17,13,1,4,3,1,9,8,1,1,0,0,1,1,0,1,1,0,1,1
186,11x12,3,3,7,7,17,0,88,108,20,11,9,-2,8,12,4,7,10,3,0,0,0,7,17,10,88,108,20,7,17,10,3,2,-1,1,8,7,1,0,-1,0,1,1,1,1,0,1,0,-1
187,10x9,9,9,4,9,20,0,90,81,-9,10,9,-1,9,9,0,9,9,0,0,0,0,9,20,11,90,81,-9,9,20,11,4,3,-1,1,12,11,1,0,-1,1,1,0,1,1,0,1,1,0
188,8x6,1,1,4,5,11,0,30,25,-5,6,5,-1,5,5,0,5,2,-3,0,0,0,5,11,6,30,25,-5,5,11,6,1,2,1,1,10,9,0,0,0,1,1,0,0,0,0,0,1,1
189,12x6,7,7,4,3,10,0,40,25,-15,10,5,-5,4,5,1,3,2,-1,0,1,1,3,10,7,40,25,-15,3,10,7,1,2,1,1,9,8,1,0,-1,0,1,1,0,0,0,0,1,1
190,10x6,7,7,5,7,13,0,48,35,-13,8,7,-1,6,5,-1,5,4,-1,0,0,0,7,13,6,48,35,-13,7,13,6,3,1,-2,3,10,7,1,0,-1,1,1,0,1,0,-1,0,0,0
191,10x5,4,4,8,6,13,0,40,40,0,10,10,0,4,4,0,5,5,0,0,0,0,6,13,7,40,40,0,6,13,7,3,3,0,2,9,7,1,1,0,1,0,-1,0,1,1,1,1,0
192,8x8,7,7,6,7,11,0,56,42,-14,7,7,0,8,6,-2,7,4,-3,0,0,0,7,11,4,56,42,-14,7,11,4,3,1,-2,1,8,7,0,0,0,1,0,-1,1,0,-1,1,1,0
193,11x9,3,3,7,7,15,0,72,64,-8,8,8,0,9,8,-1,6,5,-1,0,0,0,7,15,8,72,64,-8,7,15,8,2,2,0,2,11,9,0,0,0,1,0,-1,1,1,0,0,1,1
194,12x9,2,2,8,14,15,0,99,96,-3,11,12,1,9,8,-1,11,7,-4,0,1,1,14,15,1,99,96,-3,14,15,1,3,3,0,3,9,6,0,1,1,1,1,0,1,0,-1,1,1,0
195,8x8,7,7,9,4,15,0,32,64,32,4,8,4,8,8,0,4,5,1,0,1,1,4,15,11,32,64,32,4,15,11,3,4,1,1,11,10,1,1,0,1,1,0,1,1,0,0,1,1
196,7x10,7,7,3,2,12,0,3,36,33,1,6,5,3,6,3,2,5,3,0,0,0,2,12,10,3,36,33,2,12,10,0,1,1,1,8,7,0,1,1,0,0,0,0,0,0,0,0,0
197,9x7,2,2,4,5,9,0,54,18,-36,9,3,-6,6,6,0,5,2,-3,1,0,-1,5,9,4,54,18,-36,5,9,4,3,1,-2,1,8,7,1,0,-1,0,1,1,1,0,-1,1,0,-1
198,9x6,9,9,6,6,13,0,30,36,6,6,6,0,5,6,1,5,5,0,0,0,0,6,13,7,30,36,6,6,13,7,2,2,0,2,9,7,0,0,0,1,1,0,0,1,1,1,0,-1
199,8x6,3,3,5,6,12,0,24,40,16,4,8,4,6,5,-1,4,4,0,0,1,1,6,12,6,24,40,16,6,12,6,2,3,1,2,9,7,0,1,1,1,1,0,1,0,-1,0,1,1
200,8x12,9,9,6,8,18,0,49,77,28,7,7,0,7,11,4,7,8,1,0,1,1,8,18,10,49,77,28,8,18,10,1,2,1,2,9,7,1,0,-1,0,1,1,0,0,0,0,1,1
201,5x12,6,6,5,6,10,0,40,27,-13,5,3,-2,8,9,1,6,3,-3,0,0,0,6,10,4,40,27,-13,6,10,4,2,0,-2,1,8,7,1,0,-1,0,0,0,0,0,0,1,0,-1
202,9x8,2,2,3,7,11,0,56,30,-26,7,5,-2,8,6,-2,7,2,-5,0,0,0,7,11,4,56,30,-26,7,11,4,2,0,-2,1,9,8,0,0,0,1,0,-1,1,0,-1,0,0,0
203,5x9,8,8,4,5,10,0,36,30,-6,4,5,1,9,6,-3,5,3,-2,1,0,-1,5,10,5,36,30,-6,5,10,5,3,2,-1,1,8,7,1,1,0,1,0,-1,1,0,-1,0,1,1
204,5x7,9,9,7,2,9,0,8,12,4,2,4,2,4,3,-1,2,1,-1,0,0,0,2,9,7,8,12,4,2,9,7,1,1,0,1,9,8,0,1,1,1,0,-1,0,0,0,0,0,0
205,10x7,1,1,5,6,13,0,54,56,2,9,8,-1,6,7,1,5,3,-2,0,1,1,6,13,7,54,56,2,6,13,7,2,3,1,2,11,9,0,1,1,0,1,1,1,1,0,1,0,-1
206,6x6,6,6,5,3,12,0,16,20,4,4,5,1,4,4,0,3,2,-1,0,0,0,3,12,9,16,20,4,3,12,9,1,2,1,1,11,10,0,1,1,0,1,1,1,0,-1,0,0,0
207,10x9,6,6,1,8,17,0,63,90,27,9,10,1,7,9,2,7,7,0,0,1,1,8,17,9,63,90,27,8,17,9,2,4,2,2,10,8,0,1,1,1,1,0,0,1,1,1,1,0
208,9x9,5,5,1,9,18,0,63,72,9,7,8,1,9,9,0,7,7,0,0,0,0,9,18,9,63,72,9,9,18,9,3,3,0,3,10,7,1,0,-1,1,1,0,1,1,0,0,1,1
209,7x12,1,1,7,7,13,0,66,48,-18,6,6,0,11,8,-3,7,5,-2,1,0,-1,7,13,6,66,48,-18,7,13,6,2,1,-1,1,9,8,1,0,-1,1,0,-1,0,0,0,0,1,1
210,10x7,3,3,8,3,10,0,21,45,24,7,9,2,3,5,2,3,3,0,0,1,1,3,10,7,21,45,24,3,10,7,0,2,2,1,8,7,0,0,0,0,1,1,0,0,0,0,1,1
211,8x5,3,3,2,7,11,0,35,28,-7,7,7,0,5,4,-1,7,3,-4,0,1,1,7,11,4,35,28,-7,7,11,4,3,2,-1,1,8,7,0,1,1,1,0,-1,1,1,0,1,0,-1
212,10x5,9,9,5,1,13,0,1,36,35,1,9,8,1,4,3,1,3,2,0,0,0,1,13,12,1,36,35,1,13,12,0,2,2,1,10,9,0,1,1,0,0,0,0,1,1,0,0,0
213,6x6,4,4,8,3,11,0,9,20,11,3,4,1,3,5,2,3,2,-1,0,0,0,3,11,8,9,20,11,3,11,8,1,1,0,1,10,9,0,0,0,0,1,1,0,0,0,1,0,-1
214,6x6,7,7,1,2,11,0,6,20,14,3,4,1,2,5,3,2,2,0,0,0,0,2,11,9,6,20,14,2,11,9,0,1,1,1,9,8,0,0,0,0,1,1,0,0,0,0,0,0
215,9x9,3,3,4,5,16,0,35,72,37,5,9,4,7,8,1,4,8,4,0,1,1,5,16,11,35,72,37,5,16,11,1,3,2,2,9,7,1,1,0,0,0,0,0,1,1,0,1,1
216,7x7,5,5,3,5,13,0,20,42,22,5,7,2,4,6,2,4,4,0,0,1,1,5,13,8,20,42,22,5,13,8,2,3,1,2,9,7,1,1,0,1,1,0,0,0,0,0,1,1
217,6x5,6,6,2,2,12,0,4,20,16,4,4,0,1,5,4,2,3,1,0,2,2,2,12,10,4,20,16,2,12,10,1,3,2,1,10,9,0,1,1,0,1,1,0,1,1,1,0,-1
218,6x8,3,3,4,5,11,0,24,36,12,4,6,2,6,6,0,5,3,-2,0,2,2,5,11,6,24,36,12,5,11,6,1,3,2,1,9,8,0,1,1,0,0,0,0,1,1,1,1,0
219,6x9,4,4,1,4,10,0,28,24,-4,4,3,-1,7,8,1,4,3,-1,0,0,0,4,10,6,28,24,-4,4,10,6,0,1,1,1,8,7,0,0,0,0,0,0,0,1,1,0,0,0
220,10x9,6,6,7,10,18,0,81,80,-1,9,10,1,9,8,-1,8,6,-2,0,0,0,10,18,8,81,80,-1,10,18,8,3,3,0,3,13,10,0,1,1,1,1,0,1,0,-1,1,1,0
221,12x12,6,6,4,18,25,0,120,132,12,10,11,1,12,12,0,15,13,-2,1,0,-1,18,25,7,120,132,12,18,25,7,3,3,0,2,10,8,0,1,1,1,1,0,1,1,0,1,0,-1
222,11x9,5,5,4,9,14,0,88,99,11,11,11,0,8,9,1,6,7,1,0,1,1,9,14,5,88,99,11,9,14,5,3,4,1,4,8,4,1,1,0,1,1,0,0,1,1,1,1,0
223,5x12,7,7,9,9,10,0,45,24,-21,5,3,-2,9,8,-1,7,3,-4,0,0,0,9,10,1,45,24,-21,9,10,1,3,0,-3,2,8,6,1,0,-1,0,0,0,1,0,-1,1,0,-1
224,7x6,5,5,2,4,9,0,30,16,-14,5,4,-1,6,4,-2,3,2,-1,1,0,-1,4,9,5,30,16,-14,4,9,5,3,1,-2,2,8,6,1,0,-1,1,1,0,1,0,-1,0,0,0
225,11x7,3,3,1,6,18,0,54,70,16,9,10,1,6,7,1,5,7,2,0,1,1,6,18,12,54,70,16,6,18,12,2,3,1,2,9,7,1,0,-1,0,1,1,1,1,0,0,1,1
226,9x5,8,8,9,5,13,0,36,45,9,9,9,0,4,5,1,5,5,0,1,1,0,5,13,8,36,45,9,5,13,8,3,4,1,1,9,8,1,1,0,1,1,0,0,1,1,1,1,0
227,8x5,6,6,9,1,14,0,1,30,29,1,6,5,1,5,4,1,5,4,0,1,1,1,14,13,1,30,29,1,14,13,0,3,3,1,10,9,0,0,0,0,1,1,0,1,1,0,1,1
228,5x9,2,2,8,3,10,0,28,24,-4,4,4,0,7,6,-1,3,2,-1,0,0,0,3,10,7,28,24,-4,3,10,7,2,1,-1,1,9,8,1,0,-1,0,0,0,1,0,-1,0,1,1
229,7x10,8,8,3,9,18,0,56,70,14,7,7,0,8,10,2,7,7,0,1,0,-1,9,18,9,56,70,14,9,18,9,3,4,1,2,11,9,1,1,0,0,1,1,1,1,0,1,1,0
230,12x12,7,7,5,19,22,0,144,132,-12,12,12,0,12,11,-1,16,12,-4,2,0,-2,19,22,3,144,132,-12,19,22,3,4,3,-1,3,8,5,1,1,0,1,0,-1,1,1,0,1,1,0
231,6x5,5,5,8,4,9,0,20,12,-8,4,3,-1,5,4,-1,4,1,-3,0,0,0,4,9,5,20,12,-8,4,9,5,2,1,-1,1,9,8,0,0,0,1,0,-1,1,1,0,0,0,0
232,10x7,4,4,5,10,15,0,54,42,-12,9,6,-3,6,7,1,8,4,-4,0,0,0,10,15,5,54,42,-12,10,15,5,2,3,1,2,12,10,0,0,0,0,1,1,1,1,0,1,1,0
233,12x12,8,8,1,14,23,0,132,144,12,12,12,0,11,12,1,12,13,1,1,0,-1,14,23,9,132,144,12,14,23,9,3,4,1,2,9,7,1,1,0,0,1,1,1,1,0,1,1,0
234,5x7,1,1,3,6,11,0,30,20,-10,5,4,-1,6,5,-1,6,2,-4,2,0,-2,6,11,5,30,20,-10,6,11,5,3,2,-1,1,10,9,1,1,0,1,1,0,0,0,0,1,0,-1
235,7x5,7,7,6,2,13,0,6,30,24,3,6,3,2,5,3,2,2,0,0,0,0,2,13,11,6,30,24,2,13,11,1,3,2,1,10,9,0,1,1,0,1,1,0,1,1,1,0,-1
236,9x6,3,3,4,5,13,0,35,48,13,7,8,1,5,6,1,5,4,-1,0,1,1,5,13,8,35,48,13,5,13,8,2,3,1,1,9,8,1,0,-1,0,1,1,1,1,0,0,1,1
237,6x5,9,9,4,4,9,0,18,20,2,6,5,-1,3,4,1,4,2,-2,0,1,1,4,9,5,18,20,2,4,9,5,3,2,-1,1,8,7,1,1,0,0,1,1,1,0,-1,1,0,-1
238,11x6,6,6,8,6,14,0,40,60,20,8,10,2,5,6,1,5,6,1,0,1,1,6,14,8,40,60,20,6,14,8,1,3,2,2,9,7,0,0,0,0,1,1,1,1,0,0,1,1
239,9x6,9,9,4,1,11,0,1,24,23,1,6,5,1,4,3,1,2,1,0,0,0,1,11,10,1,24,23,1,11,10,0,1,1,1,10,9,0,0,0,0,1,1,0,0,0,0,0,0
240,6x9,1,1,6,6,10,0,45,35,-10,5,5,0,9,7,-2,5,3,-2,1,1,0,6,10,4,45,35,-10,6,10,4,3,2,-1,2,8,6,0,0,0,1,1,0,1,0,-1,1,1,0
241,8x9,2,2,7,4,16,0,32,56,24,8,7,-1,4,8,4,4,7,3,0,1,1,4,16,12,32,56,24,4,16,12,2,2,0,1,10,9,1,0,-1,0,1,1,0,0,0,1,1,0
242,9x8,7,7,5,7,14,0,35,64,29,5,8,3,7,8,1,6,5,-1,0,0,0,7,14,7,35,64,29,7,14,7,1,3,2,2,10,8,0,1,1,0,1,1,1,1,0,0,0,0
243,12x5,5,5,1,6,13,0,45,44,-1,9,11,2,5,4,-1,6,5,-1,1,0,-1,6,13,7,45,44,-1,6,13,7,3,2,-1,1,9,8,0,0,0,1,1,0,1,0,-1,1,1,0
244,5x5,2,2,6,3,10,0,9,16,7,3,4,1,3,4,1,3,1,-2,0,0,0,3,10,7,9,16,7,3,10,7,2,2,0,1,10,9,1,0,-1,1,1,0,0,0,0,0,1,1
245,11x5,5,5,9,3,13,0,18,45,27,6,9,3,3,5,2,3,6,3,0,1,1,3,13,10,18,45,27,3,13,10,1,3,2,1,8,7,0,1,1,1,1,0,0,1,1,0,0,0
246,9x5,3,3,2,4,11,0,15,40,25,5,8,3,3,5,2,3,4,1,0,1,1,4,11,7,15,40,25,4,11,7,1,3,2,2,8,6,0,1,1,1,1,0,0,1,1,0,0,0
247,9x8,2,2,1,9,16,0,72,72,0,9,9,0,8,8,0,6,7,1,2,0,-2,9,16,7,72,72,0,9,16,7,4,4,0,3,10,7,1,1,0,1,1,0,1,1,0,1,1,0
248,9x7,9,9,7,8,14,0,42,42,0,7,7,0,6,6,0,6,3,-3,0,0,0,8,14,6,42,42,0,8,14,6,2,2,0,2,12,10,1,1,0,1,0,-1,0,1,1,0,0,0
249,12x9,1,1,3,12,14,0,90,81,-9,10,9,-1,9,9,0,11,6,-5,0,0,0,12,14,2,90,81,-9,12,14,2,3,2,-1,2,9,7,1,0,-1,1,1,0,1,1,0,0,0,0
250,10x9,3,3,7,5,23,0,54,90,36,9,10,1,6,9,3,4,10,6,1,0,-1,5,23,18,54,90,36,5,23,18,2,4,2,2,9,7,1,1,0,1,1,0,0,1,1,0,1,1
251,10x11,6,6,2,13,23,0,110,100,-10,10,10,0,11,10,-1,12,9,-3,1,0,-1,13,23,10,110,100,-10,13,23,10,4,3,-1,2,11,9,1,1,0,1,0,-1,1,1,0,1,1,0
252,7x9,6,6,1,9,11,0,63,30,-33,7,6,-1,9,5,-4,8,4,-4,1,0,-1,9,11,2,63,30,-33,9,11,2,4,1,-3,2,8,6,1,1,0,1,0,-1,1,0,-1,1,0,-1
