idx,split,object_count,selected_rank,selected_bbox,selected_shape,max_count2,count2_hist,all_objects_dense_rectangles,input_shape,output_shape
188,arc-gen,2,0,"[2, 4, 6, 10]",4x6,3,"{""3"": 1, ""1"": 1}",1,"(10, 10)","(4, 6)"
189,arc-gen,2,1,"[7, 0, 10, 4]",3x4,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
190,arc-gen,2,1,"[6, 1, 10, 7]",4x6,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(4, 6)"
191,arc-gen,3,2,"[4, 4, 7, 8]",3x4,4,"{""1"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
192,arc-gen,3,2,"[4, 4, 8, 7]",4x3,4,"{""3"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(4, 3)"
193,arc-gen,3,1,"[2, 5, 8, 10]",6x5,4,"{""1"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(6, 5)"
194,arc-gen,3,1,"[2, 0, 6, 4]",4x4,4,"{""1"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(4, 4)"
195,arc-gen,3,2,"[6, 7, 9, 10]",3x3,4,"{""2"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
196,arc-gen,3,0,"[0, 0, 5, 5]",5x5,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(5, 5)"
197,arc-gen,2,1,"[4, 1, 9, 5]",5x4,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(5, 4)"
198,arc-gen,2,1,"[5, 0, 10, 4]",5x4,3,"{""2"": 1, ""3"": 1}",1,"(10, 10)","(5, 4)"
199,arc-gen,3,0,"[0, 0, 4, 3]",4x3,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
200,arc-gen,3,0,"[0, 1, 4, 4]",4x3,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
201,arc-gen,3,2,"[7, 0, 10, 4]",3x4,4,"{""1"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
202,arc-gen,3,1,"[4, 1, 10, 4]",6x3,4,"{""3"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(6, 3)"
203,arc-gen,3,2,"[6, 4, 10, 10]",4x6,3,"{""1"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 6)"
204,arc-gen,3,1,"[2, 0, 8, 3]",6x3,4,"{""3"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(6, 3)"
205,arc-gen,2,1,"[7, 4, 10, 10]",3x6,2,"{""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 6)"
206,arc-gen,3,2,"[4, 7, 10, 10]",6x3,3,"{""1"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(6, 3)"
207,arc-gen,3,0,"[0, 3, 5, 9]",5x6,3,"{""3"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(5, 6)"
208,arc-gen,3,2,"[7, 7, 10, 10]",3x3,3,"{""2"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
209,arc-gen,3,1,"[4, 6, 9, 9]",5x3,4,"{""3"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(5, 3)"
210,arc-gen,2,1,"[6, 5, 9, 9]",3x4,3,"{""2"": 1, ""3"": 1}",1,"(10, 10)","(3, 4)"
211,arc-gen,2,1,"[1, 0, 6, 3]",5x3,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(5, 3)"
212,arc-gen,2,0,"[1, 0, 6, 5]",5x5,4,"{""4"": 1, ""2"": 1}",1,"(10, 10)","(5, 5)"
213,arc-gen,2,1,"[5, 0, 10, 5]",5x5,3,"{""2"": 1, ""3"": 1}",1,"(10, 10)","(5, 5)"
214,arc-gen,3,1,"[4, 0, 7, 4]",3x4,4,"{""3"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(3, 4)"
215,arc-gen,3,2,"[6, 1, 9, 5]",3x4,4,"{""1"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
216,arc-gen,2,1,"[2, 6, 7, 10]",5x4,3,"{""1"": 1, ""3"": 1}",1,"(10, 10)","(5, 4)"
217,arc-gen,3,0,"[0, 7, 3, 10]",3x3,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(3, 3)"
218,arc-gen,3,1,"[3, 0, 7, 4]",4x4,4,"{""2"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(4, 4)"
219,arc-gen,3,1,"[4, 7, 8, 10]",4x3,4,"{""1"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(4, 3)"
220,arc-gen,3,0,"[0, 2, 4, 6]",4x4,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(4, 4)"
221,arc-gen,3,2,"[7, 7, 10, 10]",3x3,4,"{""3"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
222,arc-gen,3,1,"[0, 5, 3, 8]",3x3,4,"{""2"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
223,arc-gen,2,0,"[2, 7, 5, 10]",3x3,3,"{""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 3)"
224,arc-gen,3,0,"[1, 0, 7, 3]",6x3,4,"{""4"": 1, ""3"": 1, ""1"": 1}",1,"(10, 10)","(6, 3)"
225,arc-gen,2,1,"[2, 5, 7, 9]",5x4,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(5, 4)"
226,arc-gen,2,0,"[1, 0, 7, 4]",6x4,2,"{""2"": 1, ""1"": 1}",1,"(10, 10)","(6, 4)"
227,arc-gen,3,1,"[2, 0, 8, 3]",6x3,4,"{""3"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(6, 3)"
228,arc-gen,3,0,"[0, 1, 3, 7]",3x6,4,"{""4"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 6)"
229,arc-gen,3,0,"[1, 0, 5, 5]",4x5,4,"{""4"": 1, ""3"": 1, ""1"": 1}",1,"(10, 10)","(4, 5)"
230,arc-gen,2,1,"[7, 3, 10, 6]",3x3,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
231,arc-gen,3,2,"[5, 2, 9, 5]",4x3,3,"{""2"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
232,arc-gen,3,2,"[6, 2, 9, 6]",3x4,4,"{""2"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
233,arc-gen,3,1,"[4, 0, 8, 4]",4x4,3,"{""1"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(4, 4)"
234,arc-gen,2,0,"[1, 0, 7, 4]",6x4,4,"{""4"": 1, ""1"": 1}",1,"(10, 10)","(6, 4)"
235,arc-gen,2,1,"[6, 1, 10, 6]",4x5,3,"{""1"": 1, ""3"": 1}",1,"(10, 10)","(4, 5)"
236,arc-gen,2,1,"[6, 4, 10, 7]",4x3,3,"{""1"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
237,arc-gen,2,0,"[1, 0, 7, 5]",6x5,4,"{""4"": 1, ""1"": 1}",1,"(10, 10)","(6, 5)"
238,arc-gen,2,1,"[7, 2, 10, 6]",3x4,3,"{""2"": 1, ""3"": 1}",1,"(10, 10)","(3, 4)"
239,arc-gen,3,2,"[5, 1, 10, 5]",5x4,4,"{""1"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(5, 4)"
240,arc-gen,3,0,"[0, 3, 3, 9]",3x6,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(3, 6)"
241,arc-gen,3,2,"[7, 2, 10, 5]",3x3,4,"{""3"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
242,arc-gen,2,1,"[6, 0, 10, 3]",4x3,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(4, 3)"
243,arc-gen,2,1,"[6, 2, 9, 5]",3x3,2,"{""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 3)"
244,arc-gen,2,0,"[2, 2, 5, 8]",3x6,4,"{""4"": 1, ""3"": 1}",1,"(10, 10)","(3, 6)"
245,arc-gen,2,0,"[0, 2, 4, 8]",4x6,4,"{""4"": 1, ""1"": 1}",1,"(10, 10)","(4, 6)"
246,arc-gen,3,0,"[0, 7, 4, 10]",4x3,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
247,arc-gen,3,1,"[1, 0, 6, 3]",5x3,4,"{""2"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(5, 3)"
248,arc-gen,3,0,"[1, 5, 6, 8]",5x3,4,"{""4"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(5, 3)"
249,arc-gen,3,0,"[0, 0, 4, 3]",4x3,3,"{""3"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(4, 3)"
250,arc-gen,3,2,"[7, 0, 10, 5]",3x5,4,"{""2"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(3, 5)"
251,arc-gen,3,0,"[0, 0, 3, 4]",3x4,4,"{""4"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(3, 4)"
252,arc-gen,2,0,"[1, 5, 7, 10]",6x5,4,"{""4"": 1, ""2"": 1}",1,"(10, 10)","(6, 5)"
253,arc-gen,2,1,"[4, 3, 7, 9]",3x6,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 6)"
254,arc-gen,3,1,"[7, 1, 10, 6]",3x5,4,"{""3"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(3, 5)"
255,arc-gen,3,0,"[0, 6, 5, 9]",5x3,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(5, 3)"
256,arc-gen,3,1,"[1, 7, 5, 10]",4x3,4,"{""1"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(4, 3)"
257,arc-gen,3,0,"[1, 6, 4, 10]",3x4,4,"{""4"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(3, 4)"
258,arc-gen,3,2,"[4, 1, 8, 6]",4x5,4,"{""3"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(4, 5)"
259,arc-gen,3,2,"[5, 0, 8, 3]",3x3,3,"{""2"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
260,arc-gen,3,2,"[7, 0, 10, 3]",3x3,4,"{""2"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
261,arc-gen,3,2,"[6, 5, 9, 10]",3x5,3,"{""1"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(3, 5)"
262,arc-gen,2,0,"[0, 0, 6, 4]",6x4,4,"{""4"": 1, ""1"": 1}",1,"(10, 10)","(6, 4)"
263,arc-gen,3,2,"[7, 0, 10, 3]",3x3,3,"{""1"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
264,arc-gen,3,1,"[6, 1, 10, 4]",4x3,4,"{""3"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(4, 3)"
265,arc-gen,3,1,"[6, 0, 9, 3]",3x3,4,"{""3"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(3, 3)"
