idx,output_shape,output_color_count,component_count,shape_match_count,exactish_count,max_color,largest_color,largest_size,same_shape_input_crop_exact_count,first_exactish
151,3x3,2,8,3,1,1,1,8,1,"{'component_index': 5, 'color': 1, 'size': 8, 'r0': 5, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
152,3x3,2,9,4,1,8,8,9,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 2, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
153,3x3,2,16,2,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
154,3x3,2,8,3,1,8,8,9,1,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 5, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
155,3x3,2,10,3,1,1,1,8,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
156,3x3,2,9,4,1,8,8,9,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
157,3x3,2,13,3,0,8,8,9,1,{}
158,3x3,2,10,3,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 7, 'r0': 2, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
159,3x3,2,12,3,1,1,1,8,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
160,3x3,2,14,2,0,8,8,9,1,{}
161,3x3,2,11,4,1,1,1,7,1,"{'component_index': 3, 'color': 1, 'size': 7, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
162,3x3,2,11,2,1,1,1,6,1,"{'component_index': 7, 'color': 1, 'size': 6, 'r0': 5, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
163,3x3,2,11,3,1,1,8,9,1,"{'component_index': 8, 'color': 1, 'size': 8, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
164,3x3,2,9,4,1,1,8,9,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
165,3x3,2,9,4,1,8,8,9,1,"{'component_index': 5, 'color': 1, 'size': 6, 'r0': 5, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
166,3x3,2,13,3,1,8,1,8,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
167,3x3,2,9,4,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 1, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
168,3x3,2,13,3,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
169,3x3,2,8,3,1,1,1,8,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
170,3x3,2,8,3,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 2, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
171,3x3,2,10,3,1,8,1,8,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
172,3x3,2,9,3,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 7, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
173,3x3,2,10,3,1,8,1,8,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 6, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
174,3x3,2,12,3,1,1,1,7,1,"{'component_index': 6, 'color': 1, 'size': 7, 'r0': 5, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
175,3x3,2,10,4,1,1,1,8,1,"{'component_index': 5, 'color': 1, 'size': 8, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
176,3x3,2,14,2,1,8,8,8,1,"{'component_index': 3, 'color': 1, 'size': 7, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
177,3x3,2,9,4,1,8,8,9,1,"{'component_index': 3, 'color': 1, 'size': 6, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
178,3x3,2,7,4,1,8,8,9,1,"{'component_index': 4, 'color': 1, 'size': 8, 'r0': 5, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
179,3x3,2,8,4,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
180,3x3,2,12,2,1,8,8,8,1,"{'component_index': 1, 'color': 1, 'size': 6, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
181,3x3,2,11,3,1,8,8,8,1,"{'component_index': 8, 'color': 1, 'size': 6, 'r0': 6, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
182,3x3,2,9,3,1,8,8,9,1,"{'component_index': 3, 'color': 1, 'size': 6, 'r0': 5, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
183,3x3,2,16,1,1,1,1,8,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
184,3x3,2,10,4,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 5, 'r0': 2, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
185,3x3,2,12,3,1,8,1,8,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 1, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
186,3x3,2,13,3,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
187,3x3,2,13,3,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
188,3x3,2,8,4,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
189,3x3,2,11,3,1,1,1,8,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 1, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
190,3x3,2,15,2,0,8,8,8,1,{}
191,3x3,2,13,3,1,8,8,9,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 4, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
192,3x3,2,11,4,1,1,1,8,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 4, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
193,3x3,2,14,3,0,8,8,8,1,{}
194,3x3,2,10,4,1,8,8,9,1,"{'component_index': 2, 'color': 1, 'size': 6, 'r0': 2, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
195,3x3,2,11,4,1,1,1,8,1,"{'component_index': 5, 'color': 1, 'size': 8, 'r0': 4, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
196,3x3,2,14,2,0,8,8,8,1,{}
197,3x3,2,12,3,0,8,8,9,1,{}
198,3x3,2,13,2,1,8,8,8,1,"{'component_index': 0, 'color': 1, 'size': 7, 'r0': 1, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
199,3x3,2,10,4,1,8,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
200,3x3,2,14,3,1,8,1,7,1,"{'component_index': 3, 'color': 1, 'size': 7, 'r0': 1, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
201,3x3,2,12,3,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 1, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
202,3x3,2,10,3,0,8,8,9,1,{}
203,3x3,2,9,3,0,8,8,9,1,{}
204,3x3,2,10,3,0,8,8,9,1,{}
205,3x3,2,9,3,1,8,8,9,1,"{'component_index': 4, 'color': 1, 'size': 8, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
206,3x3,2,11,3,1,8,1,8,1,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
207,3x3,2,12,2,1,1,1,7,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
208,3x3,2,12,3,1,8,8,9,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 5, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
209,3x3,2,12,3,1,8,8,9,1,"{'component_index': 3, 'color': 1, 'size': 7, 'r0': 4, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
210,3x3,2,11,3,1,8,8,8,1,"{'component_index': 7, 'color': 1, 'size': 6, 'r0': 5, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
211,3x3,2,12,3,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 6, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
212,3x3,2,13,3,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 5, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
213,3x3,2,7,4,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
214,3x3,2,12,3,1,8,1,8,1,"{'component_index': 8, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
215,3x3,2,11,2,1,1,1,8,1,"{'component_index': 9, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
216,3x3,2,10,3,1,8,1,8,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
217,3x3,2,8,4,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
218,3x3,2,12,3,1,8,8,8,1,"{'component_index': 7, 'color': 1, 'size': 6, 'r0': 6, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
219,3x3,2,12,4,1,1,8,8,1,"{'component_index': 0, 'color': 1, 'size': 7, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
220,3x3,2,13,2,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
221,3x3,2,8,4,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
222,3x3,2,12,3,1,8,1,8,1,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 2, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
223,3x3,2,14,3,1,8,8,9,1,"{'component_index': 6, 'color': 1, 'size': 7, 'r0': 2, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
224,3x3,2,11,4,1,1,1,8,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 4, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
225,3x3,2,12,2,0,8,8,8,1,{}
226,3x3,2,11,3,1,8,8,9,1,"{'component_index': 6, 'color': 1, 'size': 6, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
227,3x3,2,11,2,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 6, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
228,3x3,2,13,2,1,8,8,9,1,"{'component_index': 3, 'color': 1, 'size': 7, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
229,3x3,2,15,2,0,8,8,8,1,{}
230,3x3,2,11,4,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
231,3x3,2,9,4,1,8,8,9,1,"{'component_index': 1, 'color': 8, 'size': 5, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
232,3x3,2,13,3,1,8,1,8,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 4, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
233,3x3,2,11,3,1,1,1,8,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
234,3x3,2,9,4,1,8,8,9,1,"{'component_index': 4, 'color': 1, 'size': 7, 'r0': 5, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
235,3x3,2,13,3,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 6, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
236,3x3,2,10,3,1,1,1,8,1,"{'component_index': 8, 'color': 1, 'size': 8, 'r0': 5, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
237,3x3,2,9,2,0,8,8,9,1,{}
238,3x3,2,14,2,0,8,8,8,1,{}
239,3x3,2,10,3,1,1,1,8,1,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
240,3x3,2,9,4,1,8,8,9,1,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
241,3x3,2,11,2,0,8,8,9,1,{}
242,3x3,2,13,2,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
243,3x3,2,9,4,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 2, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
244,3x3,2,8,4,1,8,8,9,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 1, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
245,3x3,2,10,4,1,8,8,9,1,"{'component_index': 4, 'color': 1, 'size': 7, 'r0': 4, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
246,3x3,2,11,3,1,8,8,9,1,"{'component_index': 2, 'color': 1, 'size': 6, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
247,3x3,2,9,3,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 1, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
248,3x3,2,12,3,1,1,1,7,1,"{'component_index': 2, 'color': 1, 'size': 7, 'r0': 1, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
249,3x3,2,8,4,1,1,8,9,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
250,3x3,2,12,3,1,1,1,8,1,"{'component_index': 9, 'color': 1, 'size': 8, 'r0': 6, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
251,3x3,2,10,4,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 6, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
252,3x3,2,11,3,1,1,1,7,1,"{'component_index': 0, 'color': 1, 'size': 7, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
253,3x3,2,9,3,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 1, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
254,3x3,2,10,3,1,8,8,9,1,"{'component_index': 5, 'color': 1, 'size': 8, 'r0': 4, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
255,3x3,2,10,3,1,8,8,8,1,"{'component_index': 5, 'color': 1, 'size': 7, 'r0': 6, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
256,3x3,2,12,3,1,8,8,8,1,"{'component_index': 5, 'color': 1, 'size': 6, 'r0': 4, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
257,3x3,2,9,3,0,8,8,9,1,{}
258,3x3,2,9,4,1,8,8,9,1,"{'component_index': 6, 'color': 1, 'size': 7, 'r0': 6, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
259,3x3,2,13,3,1,1,1,7,1,"{'component_index': 2, 'color': 1, 'size': 7, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
260,3x3,2,15,1,0,8,8,9,1,{}
261,3x3,2,16,2,0,8,8,8,1,{}
262,3x3,2,10,3,0,8,8,9,1,{}
263,3x3,2,11,4,1,8,8,8,1,"{'component_index': 7, 'color': 1, 'size': 6, 'r0': 5, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
264,3x3,2,11,2,1,1,1,8,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 5, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
265,3x3,2,9,2,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
266,3x3,2,11,4,1,1,1,8,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 6, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
