rank,task_id,family,priority,current_cost,current_points,target_cost,gain_to_target,rule_target,lowering_target,reject_lowering,first_action,acceptance,submission_policy
117,163,signature_lookup_current,P0,17092,15.253634203236084,3000,1.739998229113672,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
118,34,signature_lookup_current,P0,17058,15.255625419120944,3000,1.7380070132288115,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
119,85,signature_lookup_current,P0,16926,15.263393819769949,3000,1.7302386125798073,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
120,390,signature_lookup_current,P0,16699,15.276895883627567,3000,1.7167365487221886,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
121,330,signature_lookup_current,P0,16635,15.280735811547423,3000,1.7128966208023328,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
122,319,signature_lookup_current,P0,16583,15.283866646785901,3000,1.7097657855638548,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
124,232,signature_lookup_current,P0,16283,15.302123102235779,3000,1.691509330113977,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
125,36,signature_lookup_current,P0,15912,15.325171179466192,3000,1.6684612528835636,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
126,358,signature_lookup_current,P0,15757,15.334960010037955,3000,1.6586724223118008,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
127,351,signature_lookup_current,P0,15683,15.339667397865576,3000,1.6539650344841803,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
130,44,signature_lookup_current,P0,15483,15.352502073183164,3000,1.641130359166592,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
131,57,signature_lookup_current,P0,15459,15.354053363003667,3000,1.6395790693460892,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
132,365,signature_lookup_current,P0,15459,15.354053363003667,3000,1.6395790693460892,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
133,400,signature_lookup_current,P0,15459,15.354053363003667,3000,1.6395790693460892,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
134,247,signature_lookup_current,P0,15339,15.361846116251892,3000,1.6317863160978643,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
135,368,signature_lookup_current,P0,15056,15.38046813817484,3000,1.6131642941749167,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
136,112,signature_lookup_current,P0,15003,15.383994539912987,3000,1.6096378924367691,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
137,197,signature_lookup_current,P0,14567,15.413486024551052,3000,1.5801464077987042,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
139,253,signature_lookup_current,P0,14444,15.421965617602652,3000,1.571666814747104,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
140,82,signature_lookup_current,P0,14420,15.42362858916106,3000,1.5700038431886956,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
142,141,signature_lookup_current,P0,14107,15.445573592925498,3000,1.5480588394242574,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
143,117,signature_lookup_current,P0,14075,15.447844546992108,3000,1.5457878853576474,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
146,287,signature_lookup_current,P0,13779,15.469099027006097,3000,1.524533405343659,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
147,284,signature_lookup_current,P0,13755,15.470842326641325,3000,1.522790105708431,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
148,170,signature_lookup_current,P0,13731,15.472588670678249,3000,1.521043761671507,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
149,244,signature_lookup_current,P0,13731,15.472588670678249,3000,1.521043761671507,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
150,4,signature_lookup_current,P0,13560,15.485120438505614,3000,1.5085119938441416,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
151,375,signature_lookup_current,P0,13531,15.487261371736356,3000,1.5063710606134002,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
152,178,signature_lookup_current,P0,13497,15.489777282490717,3000,1.5038551498590387,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
153,185,signature_lookup_current,P0,13431,15.494679253090926,3000,1.4989531792588302,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
154,300,signature_lookup_current,P0,13323,15.502752856039788,3000,1.4908795763099683,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
155,22,signature_lookup_current,P0,13283,15.505759698867497,3000,1.4878727334822592,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
157,174,signature_lookup_current,P0,12963,15.530145575399958,3000,1.4634868569497979,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
158,79,signature_lookup_current,P0,12835,15.54006890669476,3000,1.453563525654996,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
159,271,signature_lookup_current,P0,12732,15.548126211598017,3000,1.4455062207517386,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
160,218,signature_lookup_current,P0,12611,15.557675272044126,3000,1.4359571603056303,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
161,242,signature_lookup_current,P0,12611,15.557675272044126,3000,1.4359571603056303,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
162,93,signature_lookup_current,P0,12539,15.563400933809461,3000,1.4302314985402944,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
163,130,signature_lookup_current,P0,12490,15.567316396880377,3000,1.4263160354693785,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
164,217,signature_lookup_current,P0,12475,15.568518079380281,3000,1.4251143529694748,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
165,184,signature_lookup_current,P0,12387,15.5755971854458,3000,1.4180352469039565,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
166,182,signature_lookup_current,P0,12364,15.577455696747993,3000,1.4161767356017627,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
168,265,signature_lookup_current,P0,12187,15.591874911176498,3000,1.4017575211732574,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
170,162,signature_lookup_current,P0,12027,15.605090598689383,3000,1.3885418336603728,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
172,166,signature_lookup_current,P0,11867,15.61848328233486,3000,1.3751491500148951,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
174,131,signature_lookup_current,P0,11707,15.632057767520328,3000,1.361574664829428,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
175,89,signature_lookup_current,P0,11703,15.632399501825233,3000,1.3612329305245225,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
177,355,signature_lookup_current,P0,11622,15.639344867364949,3000,1.3542875649848067,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
179,370,signature_lookup_current,P0,11547,15.645819058048144,3000,1.3478133743016123,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
183,374,signature_lookup_current,P0,11254,15.671521100006776,3000,1.3221113323429794,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
184,12,signature_lookup_current,P0,11213,15.675170901539119,3000,1.3184615308106373,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
186,193,signature_lookup_current,P0,11099,15.68538970684802,3000,1.308242725501735,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
187,343,signature_lookup_current,P0,11099,15.68538970684802,3000,1.308242725501735,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
188,340,signature_lookup_current,P0,10939,15.69991033588021,3000,1.293722096469546,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
189,23,signature_lookup_current,P0,10875,15.705778144043116,3000,1.2878542883066402,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
190,66,signature_lookup_current,P0,10875,15.705778144043116,3000,1.2878542883066402,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
191,208,signature_lookup_current,P0,10875,15.705778144043116,3000,1.2878542883066402,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
192,251,signature_lookup_current,P0,10875,15.705778144043116,3000,1.2878542883066402,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
195,64,signature_lookup_current,P0,10771,15.71538738364923,3000,1.2782450487005264,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
196,8,signature_lookup_current,P0,10555,15.735645039717578,3000,1.2579873926321774,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
197,77,signature_lookup_current,P0,10491,15.741726974268515,3000,1.2519054580812412,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
198,25,signature_lookup_current,P0,10331,15.757095637150554,3000,1.2365367951992017,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
201,397,signature_lookup_current,P0,10235,15.76643150190461,1000,2.325813219113254,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
