idx,split,input_shape,output_shape,exact_crop_matches,exact_crop_positions,nonzero_bbox_match,color_bbox_matches,component_bbox_matches,component_bbox_shapes,crop_with_color_remap_matches,best_signal
220,arc-gen,"(24, 10)","(12, 10)",0,[],0,[],0,"{""(24, 10)"": 1}",0,no_crop_signal
221,arc-gen,"(12, 22)","(12, 11)",0,[],0,[],0,"{""(12, 22)"": 1}",0,no_crop_signal
222,arc-gen,"(13, 28)","(13, 14)",0,[],0,[],0,"{""(13, 28)"": 1}",0,no_crop_signal
223,arc-gen,"(10, 16)","(10, 8)",0,[],0,[],0,"{""(10, 16)"": 1}",0,no_crop_signal
224,arc-gen,"(22, 11)","(11, 11)",0,[],0,[],0,"{""(22, 11)"": 1}",0,no_crop_signal
225,arc-gen,"(26, 14)","(13, 14)",0,[],0,[],0,"{""(13, 14)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
226,arc-gen,"(11, 26)","(11, 13)",0,[],0,[],0,"{""(11, 13)"": 1, ""(5, 5)"": 1, ""(3, 2)"": 1}",0,no_crop_signal
227,arc-gen,"(30, 17)","(15, 17)",0,[],0,[],0,"{""(1, 1)"": 4, ""(2, 1)"": 1, ""(15, 17)"": 1}",0,no_crop_signal
228,arc-gen,"(20, 12)","(10, 12)",0,[],0,[],0,"{""(20, 12)"": 1}",0,no_crop_signal
229,arc-gen,"(20, 8)","(10, 8)",0,[],0,[],0,"{""(20, 8)"": 1}",0,no_crop_signal
230,arc-gen,"(20, 11)","(10, 11)",0,[],0,[],0,"{""(20, 11)"": 1}",0,no_crop_signal
231,arc-gen,"(10, 20)","(10, 10)",0,[],0,[],0,"{""(10, 20)"": 1}",0,no_crop_signal
232,arc-gen,"(12, 20)","(12, 10)",0,[],0,[],0,"{""(1, 1)"": 1, ""(12, 10)"": 1}",0,no_crop_signal
233,arc-gen,"(24, 14)","(12, 14)",0,[],0,[],0,"{""(24, 14)"": 1}",0,no_crop_signal
234,arc-gen,"(22, 11)","(11, 11)",0,[],0,[],0,"{""(22, 11)"": 1}",0,no_crop_signal
235,arc-gen,"(20, 11)","(10, 11)",0,[],0,[],0,"{""(11, 11)"": 1}",0,no_crop_signal
236,arc-gen,"(30, 17)","(15, 17)",0,[],0,[],0,"{""(1, 1)"": 1, ""(15, 17)"": 1}",0,no_crop_signal
237,arc-gen,"(10, 22)","(10, 11)",0,[],0,[],0,"{""(10, 22)"": 1}",0,no_crop_signal
238,arc-gen,"(10, 20)","(10, 10)",0,[],0,[],0,"{""(10, 20)"": 1}",0,no_crop_signal
239,arc-gen,"(28, 13)","(14, 13)",0,[],0,[],0,"{""(28, 13)"": 1}",0,no_crop_signal
240,arc-gen,"(11, 22)","(11, 11)",0,[],0,[],0,"{""(11, 22)"": 1}",0,no_crop_signal
241,arc-gen,"(28, 16)","(14, 16)",0,[],0,[],0,"{""(28, 16)"": 1}",0,no_crop_signal
242,arc-gen,"(12, 28)","(12, 14)",0,[],0,[],0,"{""(12, 28)"": 1}",0,no_crop_signal
243,arc-gen,"(13, 26)","(13, 13)",0,[],0,[],0,"{""(13, 26)"": 1}",0,no_crop_signal
244,arc-gen,"(12, 22)","(12, 11)",0,[],0,[],0,"{""(12, 13)"": 1, ""(2, 3)"": 1, ""(3, 5)"": 1}",0,no_crop_signal
245,arc-gen,"(30, 13)","(15, 13)",0,[],0,[],0,"{""(30, 13)"": 1}",0,no_crop_signal
246,arc-gen,"(30, 17)","(15, 17)",0,[],0,[],0,"{""(15, 17)"": 1, ""(1, 1)"": 3}",0,no_crop_signal
247,arc-gen,"(14, 28)","(14, 14)",0,[],0,[],0,"{""(14, 28)"": 1}",0,no_crop_signal
248,arc-gen,"(26, 12)","(13, 12)",0,[],0,[],0,"{""(26, 12)"": 1}",0,no_crop_signal
249,arc-gen,"(24, 14)","(12, 14)",0,[],0,[],0,"{""(24, 14)"": 1}",0,no_crop_signal
250,arc-gen,"(22, 9)","(11, 9)",0,[],0,[],0,"{""(11, 9)"": 1, ""(2, 7)"": 1, ""(4, 2)"": 1}",0,no_crop_signal
251,arc-gen,"(26, 15)","(13, 15)",0,[],0,[],0,"{""(26, 15)"": 1}",0,no_crop_signal
252,arc-gen,"(12, 22)","(12, 11)",0,[],0,[],0,"{""(12, 11)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
253,arc-gen,"(24, 14)","(12, 14)",0,[],0,[],0,"{""(24, 14)"": 1}",0,no_crop_signal
254,arc-gen,"(11, 18)","(11, 9)",0,[],0,[],0,"{""(11, 18)"": 1}",0,no_crop_signal
255,arc-gen,"(20, 11)","(10, 11)",0,[],0,[],0,"{""(20, 11)"": 1}",0,no_crop_signal
256,arc-gen,"(24, 12)","(12, 12)",0,[],0,[],0,"{""(24, 12)"": 1}",0,no_crop_signal
257,arc-gen,"(15, 30)","(15, 15)",0,[],0,[],0,"{""(15, 30)"": 1}",0,no_crop_signal
258,arc-gen,"(26, 12)","(13, 12)",0,[],0,[],0,"{""(26, 12)"": 1}",0,no_crop_signal
259,arc-gen,"(30, 14)","(15, 14)",0,[],0,[],0,"{""(30, 14)"": 1}",0,no_crop_signal
260,arc-gen,"(14, 32)","(14, 16)",0,[],0,[],0,"{""(14, 32)"": 1}",0,no_crop_signal
261,arc-gen,"(15, 34)","(15, 17)",0,[],0,[],0,"{""(15, 34)"": 1}",0,no_crop_signal
262,arc-gen,"(30, 17)","(15, 17)",0,[],0,[],0,"{""(30, 17)"": 1}",0,no_crop_signal
263,arc-gen,"(10, 16)","(10, 8)",0,[],0,[],0,"{""(10, 8)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
264,arc-gen,"(12, 28)","(12, 14)",0,[],0,[],0,"{""(12, 28)"": 1}",0,no_crop_signal
265,arc-gen,"(14, 32)","(14, 16)",0,[],0,[],0,"{""(14, 32)"": 1}",0,no_crop_signal
